circuit_tag,total_base,total_tcache,speedup_total,base_03,tc_02,tc_03,tc_07,tc_sum_020307,speedup_compile
GHZ-Chain\_q3\_d1,0.462,0.233,1.99,0.215,0.001,0.021,0.001,0.022,9.73
GHZ-Chain\_q3\_d2,0.517,0.270,1.91,0.286,0.001,0.027,0.003,0.030,9.43
GHZ-Chain\_q3\_d4,0.450,0.252,1.79,0.223,0.001,0.020,0.006,0.028,8.10
GHZ-Chain\_q3\_d8,0.446,0.318,1.40,0.228,0.001,0.022,0.081,0.105,2.18
GHZ-Chain\_q3\_d16,0.840,0.268,3.13,0.263,0.002,0.027,0.020,0.049,5.40
GHZ-Chain\_q3\_d32,0.512,0.417,1.23,0.263,0.002,0.029,0.154,0.186,1.42
GHZ-Chain\_q5\_d1,0.481,0.327,1.47,0.242,0.001,0.027,0.001,0.029,8.29
GHZ-Chain\_q5\_d2,0.484,0.263,1.84,0.245,0.001,0.021,0.003,0.026,9.60
GHZ-Chain\_q5\_d4,0.447,0.253,1.77,0.228,0.001,0.022,0.007,0.031,7.42
GHZ-Chain\_q5\_d8,0.446,0.258,1.73,0.227,0.001,0.023,0.012,0.037,6.12
GHZ-Chain\_q5\_d16,0.515,0.369,1.40,0.258,0.002,0.027,0.101,0.130,1.98
GHZ-Chain\_q5\_d32,0.507,0.406,1.25,0.266,0.003,0.028,0.041,0.071,3.76
GHZ-Chain\_q6\_d1,0.553,0.295,1.88,0.308,0.001,0.038,0.001,0.040,7.65
GHZ-Chain\_q6\_d2,0.562,0.357,1.57,0.307,0.002,0.033,0.005,0.040,7.73
GHZ-Chain\_q6\_d4,0.519,0.261,1.99,0.287,0.001,0.029,0.009,0.038,7.45
GHZ-Chain\_q6\_d8,0.527,0.277,1.90,0.300,0.002,0.035,0.014,0.051,5.92
GHZ-Chain\_q6\_d16,0.629,0.297,2.12,0.393,0.002,0.037,0.026,0.065,6.06
GHZ-Chain\_q6\_d32,0.687,0.350,1.96,0.359,0.003,0.033,0.052,0.088,4.09
GHZ-Chain\_q7\_d1,0.647,0.268,2.41,0.380,0.001,0.034,0.003,0.038,10.05
GHZ-Chain\_q7\_d2,1.076,0.431,2.50,0.601,0.002,0.074,0.010,0.086,7.02
GHZ-Chain\_q7\_d4,0.753,0.335,2.25,0.457,0.001,0.043,0.068,0.112,4.08
GHZ-Chain\_q7\_d8,0.597,0.349,1.71,0.363,0.002,0.036,0.086,0.124,2.93
GHZ-Chain\_q7\_d16,0.615,0.308,2.00,0.370,0.002,0.038,0.032,0.072,5.16
GHZ-Chain\_q7\_d32,1.097,0.523,2.10,0.593,0.004,0.069,0.127,0.200,2.96
LinearEnt\_q3\_d1,0.497,0.574,-,0.258,0.001,0.025,0.001,0.026,9.78
LinearEnt\_q3\_d2,0.565,0.312,1.81,0.301,0.001,0.038,0.004,0.044,6.90
LinearEnt\_q3\_d4,0.575,0.276,2.08,0.317,0.002,0.034,0.006,0.042,7.58
LinearEnt\_q3\_d8,0.646,0.301,2.15,0.378,0.002,0.037,0.012,0.051,7.39
LinearEnt\_q3\_d16,0.924,0.389,2.38,0.634,0.005,0.056,0.021,0.083,7.67
LinearEnt\_q3\_d32,1.195,0.644,1.86,0.837,0.008,0.192,0.044,0.244,3.43
LinearEnt\_q5\_d1,0.639,0.255,2.50,0.314,0.001,0.026,0.001,0.028,11.12
LinearEnt\_q5\_d2,0.647,0.370,1.75,0.371,0.002,0.043,0.004,0.049,7.59
LinearEnt\_q5\_d4,0.625,0.307,2.03,0.376,0.002,0.040,0.007,0.049,7.61
LinearEnt\_q5\_d8,0.836,0.349,2.40,0.489,0.004,0.048,0.012,0.064,7.60
LinearEnt\_q5\_d16,1.098,0.561,1.96,0.759,0.008,0.074,0.093,0.176,4.32
LinearEnt\_q5\_d32,1.830,0.761,2.41,1.374,0.017,0.123,0.137,0.277,4.97
LinearEnt\_q6\_d1,0.744,0.314,2.37,0.434,0.001,0.032,0.001,0.035,12.32
LinearEnt\_q6\_d2,0.813,0.422,1.93,0.482,0.002,0.053,0.005,0.060,8.04
LinearEnt\_q6\_d4,0.785,0.331,2.37,0.509,0.003,0.043,0.008,0.055,9.29
LinearEnt\_q6\_d8,1.018,0.388,2.62,0.707,0.004,0.061,0.014,0.079,8.91
LinearEnt\_q6\_d16,1.470,0.545,2.70,1.079,0.008,0.107,0.031,0.146,7.37
LinearEnt\_q6\_d32,2.529,0.999,2.53,1.971,0.017,0.266,0.051,0.335,5.89
LinearEnt\_q7\_d1,0.698,0.387,1.80,0.415,0.002,0.045,0.003,0.050,8.27
LinearEnt\_q7\_d2,0.795,0.343,2.32,0.453,0.002,0.042,0.006,0.049,9.24
