circuit_tag,total_base,total_tcache,speedup_total,base_03,tc_02,tc_03,tc_07,tc_sum_020307,speedup_compile
GHZ-Chain\_q3\_allD,3.227,1.757,1.84,1.478,0.008,0.146,0.265,0.419,3.53
GHZ-Chain\_q5\_allD,2.880,1.875,1.54,1.467,0.009,0.149,0.165,0.323,4.54
GHZ-Chain\_q6\_allD,3.477,1.837,1.89,1.954,0.010,0.204,0.107,0.322,6.07
GHZ-Chain\_q7\_allD,4.786,2.213,2.16,2.765,0.012,0.293,0.326,0.632,4.38
LinearEnt\_q3\_allD,4.401,2.496,1.76,2.725,0.019,0.383,0.088,0.490,5.56
LinearEnt\_q5\_allD,5.676,2.603,2.18,3.683,0.034,0.356,0.254,0.643,5.73
LinearEnt\_q6\_allD,7.357,3.000,2.45,5.183,0.036,0.563,0.111,0.710,7.30
LinearEnt\_q7\_allD,8.459,3.547,2.38,5.970,0.040,0.744,0.227,1.011,5.91
QFT-Like\_q3\_allD,8.230,2.787,2.95,5.723,0.019,0.526,0.092,0.637,8.99
QFT-Like\_q5\_allD,22.140,5.831,3.80,17.682,0.046,1.700,0.217,1.963,9.01
QFT-Like\_q6\_allD,27.084,8.390,3.23,21.745,0.070,2.592,0.152,2.814,7.73
QFT-Like\_q7\_allD,48.288,11.632,4.15,41.717,0.094,3.810,0.273,4.177,9.99
