circuit_tag,total_base,total_tcache,speedup_total,base_03,tc_02,tc_03,tc_07,tc_sum_020307,speedup_compile
GHZ-Chain\_q3\_d1,0.445,0.043,10.40,0.388,0.001,0.019,0.000,0.020,19.01
GHZ-Chain\_q3\_d2,0.223,0.044,5.11,0.204,0.001,0.022,0.003,0.026,7.88
GHZ-Chain\_q3\_d4,0.251,0.051,4.94,0.228,0.001,0.021,0.006,0.028,8.04
GHZ-Chain\_q3\_d8,0.237,0.134,1.77,0.215,0.001,0.022,0.091,0.114,1.89
GHZ-Chain\_q3\_d16,0.275,0.148,1.85,0.249,0.002,0.024,0.099,0.125,1.99
GHZ-Chain\_q3\_d32,0.287,0.098,2.92,0.256,0.003,0.027,0.041,0.071,3.62
GHZ-Chain\_q5\_d1,0.246,0.056,4.39,0.213,0.001,0.022,0.001,0.024,9.05
GHZ-Chain\_q5\_d2,0.234,0.053,4.41,0.212,0.001,0.024,0.003,0.029,7.39
GHZ-Chain\_q5\_d4,0.278,0.055,5.04,0.247,0.001,0.024,0.007,0.032,7.68
GHZ-Chain\_q5\_d8,0.352,0.069,5.12,0.319,0.001,0.025,0.013,0.040,8.02
GHZ-Chain\_q5\_d16,0.442,0.118,3.74,0.409,0.002,0.034,0.055,0.090,4.53
GHZ-Chain\_q5\_d32,0.299,0.190,1.57,0.266,0.003,0.027,0.130,0.160,1.66
GHZ-Chain\_q6\_d1,0.331,0.067,4.91,0.282,0.001,0.027,0.001,0.029,9.64
GHZ-Chain\_q6\_d2,0.328,0.061,5.40,0.300,0.001,0.031,0.004,0.037,8.20
GHZ-Chain\_q6\_d4,0.316,0.079,4.02,0.289,0.001,0.033,0.010,0.045,6.41
GHZ-Chain\_q6\_d8,0.335,0.070,4.77,0.305,0.001,0.029,0.014,0.045,6.79
GHZ-Chain\_q6\_d16,0.363,0.092,3.95,0.331,0.002,0.034,0.028,0.064,5.20
GHZ-Chain\_q6\_d32,0.397,0.129,3.08,0.360,0.002,0.039,0.052,0.094,3.84
GHZ-Chain\_q7\_d1,0.345,0.066,5.22,0.315,0.001,0.033,0.002,0.036,8.73
GHZ-Chain\_q7\_d2,0.355,0.068,5.19,0.324,0.001,0.035,0.004,0.041,8.01
GHZ-Chain\_q7\_d4,0.373,0.074,5.03,0.333,0.001,0.034,0.009,0.044,7.64
GHZ-Chain\_q7\_d8,0.384,0.085,4.53,0.350,0.001,0.037,0.018,0.057,6.18
GHZ-Chain\_q7\_d16,0.400,0.101,3.94,0.359,0.002,0.038,0.032,0.072,5.02
GHZ-Chain\_q7\_d32,0.695,0.310,2.24,0.632,0.003,0.053,0.211,0.268,2.36
LinearEnt\_q3\_d1,0.263,0.045,5.85,0.241,0.001,0.024,0.001,0.026,9.39
LinearEnt\_q3\_d2,0.283,0.058,4.89,0.259,0.001,0.028,0.003,0.032,8.00
LinearEnt\_q3\_d4,0.342,0.063,5.41,0.312,0.001,0.030,0.006,0.037,8.38
LinearEnt\_q3\_d8,0.421,0.087,4.85,0.387,0.002,0.042,0.012,0.056,6.90
LinearEnt\_q3\_d16,0.598,0.127,4.70,0.551,0.004,0.055,0.024,0.084,6.58
LinearEnt\_q3\_d32,0.996,0.220,4.53,0.927,0.008,0.099,0.043,0.151,6.14
LinearEnt\_q5\_d1,0.286,0.055,5.21,0.257,0.001,0.026,0.001,0.028,9.03
LinearEnt\_q5\_d2,0.341,0.066,5.16,0.311,0.002,0.031,0.003,0.036,8.61
LinearEnt\_q5\_d4,0.415,0.079,5.28,0.378,0.002,0.037,0.007,0.045,8.32
LinearEnt\_q5\_d8,0.665,0.132,5.03,0.611,0.004,0.068,0.013,0.086,7.13
LinearEnt\_q5\_d16,0.813,0.244,3.33,0.744,0.006,0.075,0.099,0.181,4.12
LinearEnt\_q5\_d32,1.833,0.433,4.23,1.680,0.014,0.154,0.052,0.220,7.65
LinearEnt\_q6\_d1,0.414,0.073,5.65,0.380,0.001,0.040,0.001,0.042,8.98
LinearEnt\_q6\_d2,0.381,0.074,5.15,0.347,0.002,0.035,0.004,0.041,8.46
LinearEnt\_q6\_d4,0.521,0.114,4.58,0.475,0.003,0.050,0.012,0.065,7.32
LinearEnt\_q6\_d8,0.750,0.138,5.44,0.691,0.004,0.064,0.015,0.083,8.31
LinearEnt\_q6\_d16,1.176,0.227,5.19,1.088,0.008,0.101,0.027,0.137,7.93
LinearEnt\_q6\_d32,2.386,0.644,3.71,2.230,0.022,0.347,0.075,0.443,5.04
LinearEnt\_q7\_d1,0.405,0.081,4.98,0.367,0.001,0.041,0.002,0.044,8.26
LinearEnt\_q7\_d2,0.415,0.090,4.62,0.375,0.002,0.039,0.005,0.046,8.15
LinearEnt\_q7\_d4,0.555,0.127,4.35,0.502,0.003,0.052,0.011,0.066,7.58
LinearEnt\_q7\_d8,0.929,0.175,5.30,0.856,0.005,0.075,0.021,0.101,8.46
LinearEnt\_q7\_d16,1.334,0.334,3.99,1.152,0.009,0.191,0.031,0.231,4.98
LinearEnt\_q7\_d32,3.578,0.718,4.98,3.238,0.027,0.358,0.082,0.467,6.94
QFT-Like\_q3\_d1,0.318,0.057,5.62,0.294,0.001,0.032,0.001,0.034,8.73
QFT-Like\_q3\_d2,0.366,0.063,5.83,0.338,0.001,0.034,0.003,0.038,8.92
QFT-Like\_q3\_d4,0.503,0.084,5.98,0.465,0.001,0.041,0.006,0.048,9.65
QFT-Like\_q3\_d8,0.651,0.177,3.67,0.599,0.003,0.063,0.049,0.115,5.19
QFT-Like\_q3\_d16,1.295,0.278,4.66,1.137,0.005,0.162,0.022,0.188,6.04
QFT-Like\_q3\_d32,2.810,0.578,4.86,2.571,0.008,0.365,0.047,0.421,6.11
QFT-Like\_q5\_d1,0.526,0.097,5.42,0.491,0.002,0.059,0.001,0.062,7.93
QFT-Like\_q5\_d2,0.824,0.126,6.55,0.715,0.002,0.072,0.003,0.077,9.23
QFT-Like\_q5\_d4,1.093,0.173,6.34,0.971,0.003,0.096,0.007,0.107,9.11
QFT-Like\_q5\_d8,2.259,0.318,7.09,2.121,0.006,0.182,0.014,0.202,10.52
QFT-Like\_q5\_d16,4.644,0.705,6.59,4.414,0.012,0.355,0.113,0.480,9.20
QFT-Like\_q5\_d32,13.312,2.601,5.12,12.656,0.034,1.568,0.063,1.665,7.60
QFT-Like\_q6\_d1,0.703,0.105,6.71,0.657,0.002,0.060,0.002,0.063,10.35
QFT-Like\_q6\_d2,1.079,0.160,6.75,0.960,0.003,0.095,0.004,0.102,9.43
QFT-Like\_q6\_d4,1.774,0.303,5.85,1.674,0.005,0.185,0.009,0.199,8.42
QFT-Like\_q6\_d8,3.256,0.540,6.03,3.067,0.008,0.282,0.077,0.368,8.34
QFT-Like\_q6\_d16,5.432,0.975,5.57,5.042,0.018,0.460,0.109,0.586,8.60
QFT-Like\_q6\_d32,13.884,2.349,5.91,12.858,0.032,1.253,0.071,1.356,9.48
QFT-Like\_q7\_d1,0.976,0.137,7.12,0.872,0.002,0.084,0.002,0.088,9.92
QFT-Like\_q7\_d2,1.315,0.212,6.19,1.240,0.003,0.127,0.006,0.136,9.13
QFT-Like\_q7\_d4,2.900,0.427,6.80,2.717,0.006,0.271,0.011,0.289,9.40
QFT-Like\_q7\_d8,5.365,0.786,6.83,4.968,0.011,0.513,0.019,0.543,9.15
QFT-Like\_q7\_d16,10.087,1.688,5.97,9.361,0.022,0.962,0.132,1.116,8.39
QFT-Like\_q7\_d32,25.037,4.088,6.13,23.677,0.046,2.360,0.218,2.623,9.03
