circuit_tag,total_base,total_tcache,speedup_total,base_03,tc_02,tc_03,tc_07,tc_sum_020307,speedup_compile
GHZ-Chain\_d1\_allQ,1.367,0.233,5.88,1.198,0.004,0.101,0.005,0.109,10.96
GHZ-Chain\_d2\_allQ,1.140,0.226,5.05,1.040,0.004,0.113,0.015,0.132,7.90
GHZ-Chain\_d4\_allQ,1.218,0.259,4.71,1.097,0.005,0.113,0.032,0.149,7.35
GHZ-Chain\_d8\_allQ,1.308,0.358,3.66,1.189,0.005,0.113,0.137,0.255,4.66
GHZ-Chain\_d16\_allQ,1.480,0.460,3.22,1.348,0.007,0.130,0.214,0.350,3.85
GHZ-Chain\_d32\_allQ,1.678,0.728,2.30,1.514,0.012,0.147,0.434,0.592,2.56
LinearEnt\_d1\_allQ,1.368,0.255,5.37,1.244,0.004,0.131,0.005,0.141,8.84
LinearEnt\_d2\_allQ,1.420,0.288,4.93,1.291,0.006,0.133,0.016,0.155,8.31
LinearEnt\_d4\_allQ,1.833,0.383,4.78,1.667,0.009,0.168,0.036,0.214,7.80
LinearEnt\_d8\_allQ,2.765,0.532,5.20,2.545,0.016,0.249,0.061,0.326,7.80
LinearEnt\_d16\_allQ,3.921,0.932,4.21,3.535,0.029,0.422,0.182,0.633,5.59
LinearEnt\_d32\_allQ,8.793,2.015,4.36,8.074,0.071,0.958,0.252,1.280,6.31
QFT-Like\_d1\_allQ,2.523,0.396,6.38,2.313,0.006,0.235,0.006,0.247,9.37
QFT-Like\_d2\_allQ,3.584,0.561,6.39,3.252,0.009,0.328,0.016,0.353,9.22
QFT-Like\_d4\_allQ,6.270,0.986,6.36,5.826,0.015,0.593,0.034,0.642,9.07
QFT-Like\_d8\_allQ,11.531,1.822,6.33,10.756,0.029,1.040,0.159,1.228,8.76
QFT-Like\_d16\_allQ,21.458,3.646,5.88,19.954,0.056,1.939,0.375,2.370,8.42
QFT-Like\_d32\_allQ,55.043,9.615,5.72,51.762,0.121,5.546,0.398,6.066,8.53
