circuit_tag,total_base,total_tcache,speedup_total,base_03,tc_02,tc_03,tc_07,tc_sum_020307,speedup_compile
GHZ-Chain\_q3\_allD,0.789,0.452,1.75,0.709,0.004,0.201,0.178,0.383,1.85
GHZ-Chain\_q5\_allD,0.856,0.621,1.38,0.759,0.005,0.170,0.351,0.526,1.44
GHZ-Chain\_q6\_allD,1.151,0.590,1.95,1.040,0.006,0.239,0.246,0.491,2.12
GHZ-Chain\_q7\_allD,1.316,0.564,2.33,1.212,0.005,0.220,0.247,0.472,2.57
LinearEnt\_q3\_allD,1.827,0.725,2.52,1.683,0.009,0.320,0.286,0.616,2.73
LinearEnt\_q5\_allD,2.118,0.678,3.12,1.841,0.015,0.391,0.091,0.498,3.70
LinearEnt\_q6\_allD,3.413,1.162,2.94,3.143,0.024,0.609,0.239,0.872,3.60
LinearEnt\_q7\_allD,3.425,1.241,2.76,3.148,0.021,0.578,0.370,0.969,3.25
QFT-Like\_q3\_allD,3.253,0.904,3.60,3.039,0.009,0.606,0.090,0.706,4.30
QFT-Like\_q5\_allD,10.151,2.850,3.56,9.457,0.023,2.123,0.116,2.262,4.18
QFT-Like\_q6\_allD,12.384,3.525,3.51,11.410,0.035,2.296,0.251,2.582,4.42
QFT-Like\_q7\_allD,21.533,5.529,3.89,20.111,0.044,3.884,0.400,4.328,4.65
