circuit_tag,total_base,total_tcache,speedup_total,base_03,tc_02,tc_03,tc_07,tc_sum_020307,speedup_compile
GHZ-Chain\_d1\_allQ,2.162,1.294,1.67,1.444,0.008,0.296,0.275,0.579,2.49
GHZ-Chain\_d4\_allQ,2.286,1.395,1.64,1.553,0.011,0.330,0.276,0.616,2.52
GHZ-Chain\_d8\_allQ,2.599,1.493,1.74,1.824,0.014,0.384,0.293,0.691,2.64
GHZ-Chain\_d16\_allQ,2.667,1.571,1.70,1.867,0.016,0.405,0.313,0.734,2.54
GHZ-Chain\_d25\_allQ,3.014,1.605,1.88,2.187,0.019,0.454,0.301,0.774,2.83
LinearEnt\_d1\_allQ,2.594,2.173,1.19,1.708,0.013,0.351,0.947,1.312,1.30
LinearEnt\_d4\_allQ,5.004,3.996,1.25,2.938,0.036,0.590,1.246,1.872,1.57
LinearEnt\_d8\_allQ,8.246,6.169,1.34,4.311,0.071,0.867,1.174,2.111,2.04
LinearEnt\_d16\_allQ,16.140,11.176,1.44,7.299,0.134,1.498,1.212,2.845,2.57
LinearEnt\_d25\_allQ,22.902,17.408,1.32,9.926,0.204,2.099,1.030,3.334,2.98
QFT-Like\_d1\_allQ,8.280,5.505,1.50,5.205,0.051,1.059,1.225,2.335,2.23
QFT-Like\_d4\_allQ,26.685,17.415,1.53,14.396,0.178,3.149,0.968,4.295,3.35
QFT-Like\_d8\_allQ,53.736,33.018,1.63,27.299,0.298,5.239,0.924,6.461,4.22
QFT-Like\_d16\_allQ,99.066,63.724,1.55,48.070,0.558,9.547,1.183,11.288,4.26
QFT-Like\_d25\_allQ,154.402,101.487,1.52,73.290,0.899,14.616,1.423,16.938,4.33
RCA\_d1\_allQ,2.176,1.148,1.90,1.504,0.010,0.300,0.159,0.468,3.21
RCA\_d4\_allQ,4.351,2.982,1.46,2.381,0.026,0.496,0.429,0.951,2.50
RCA\_d8\_allQ,6.998,4.521,1.55,3.440,0.045,0.682,0.130,0.857,4.01
RCA\_d16\_allQ,12.152,8.508,1.43,5.363,0.083,0.964,0.233,1.280,4.19
RCA\_d25\_allQ,17.017,12.058,1.41,7.038,0.127,1.632,0.147,1.906,3.69
QSIM-XXZ\_d1\_allQ,2.792,1.617,1.73,2.049,0.029,0.466,0.470,0.966,2.12
QSIM-XXZ\_d4\_allQ,5.947,2.901,2.05,4.390,0.083,0.817,0.479,1.379,3.18
QSIM-XXZ\_d8\_allQ,9.756,5.010,1.95,7.205,0.158,1.281,0.734,2.174,3.32
QSIM-XXZ\_d16\_allQ,17.586,8.551,2.06,12.342,0.303,2.345,0.662,3.311,3.73
QSIM-XXZ\_d25\_allQ,26.560,12.575,2.11,18.198,0.474,3.129,0.854,4.457,4.08
