circuit_tag,total_base,total_tcache,speedup_total,base_03,tc_02,tc_03,tc_07,tc_sum_020307,speedup_compile
GHZ-Chain\_q3\_d1,0.114,0.027,4.16,0.102,0.000,0.018,0.001,0.019,5.27
GHZ-Chain\_q3\_d4,0.118,0.031,3.77,0.106,0.000,0.021,0.001,0.022,4.90
GHZ-Chain\_q3\_d8,0.206,0.057,3.64,0.185,0.001,0.040,0.001,0.042,4.44
GHZ-Chain\_q3\_d16,0.119,0.034,3.48,0.106,0.001,0.021,0.001,0.023,4.66
GHZ-Chain\_q3\_d25,0.126,0.038,3.34,0.113,0.001,0.024,0.001,0.026,4.41
GHZ-Chain\_q7\_d1,0.126,0.037,3.38,0.111,0.001,0.019,0.003,0.023,4.90
GHZ-Chain\_q7\_d4,0.123,0.038,3.26,0.109,0.001,0.021,0.003,0.025,4.38
GHZ-Chain\_q7\_d8,0.118,0.037,3.24,0.105,0.001,0.021,0.003,0.024,4.33
GHZ-Chain\_q7\_d16,0.136,0.049,2.80,0.119,0.001,0.026,0.004,0.030,3.95
GHZ-Chain\_q7\_d25,0.144,0.048,3.04,0.127,0.001,0.027,0.003,0.031,4.07
GHZ-Chain\_q11\_d1,0.133,0.050,2.68,0.116,0.001,0.025,0.007,0.032,3.63
GHZ-Chain\_q11\_d4,0.138,0.045,3.04,0.120,0.001,0.023,0.006,0.029,4.08
GHZ-Chain\_q11\_d8,0.138,0.050,2.75,0.120,0.001,0.023,0.007,0.031,3.86
GHZ-Chain\_q11\_d16,0.153,0.058,2.65,0.133,0.001,0.028,0.009,0.038,3.51
GHZ-Chain\_q11\_d25,0.170,0.061,2.79,0.146,0.001,0.030,0.008,0.039,3.78
GHZ-Chain\_q15\_d1,0.175,0.079,2.23,0.145,0.001,0.034,0.017,0.052,2.82
GHZ-Chain\_q15\_d4,0.191,0.187,1.02,0.162,0.001,0.033,0.125,0.160,1.02
GHZ-Chain\_q15\_d8,0.254,0.112,2.26,0.204,0.002,0.047,0.022,0.071,2.88
GHZ-Chain\_q15\_d16,0.260,0.121,2.16,0.223,0.002,0.052,0.024,0.078,2.85
GHZ-Chain\_q15\_d25,0.252,0.103,2.45,0.213,0.002,0.045,0.019,0.066,3.21
GHZ-Chain\_q19\_d1,0.199,0.102,1.95,0.153,0.001,0.032,0.025,0.058,2.66
GHZ-Chain\_q19\_d4,0.257,0.157,1.64,0.202,0.002,0.045,0.031,0.077,2.63
GHZ-Chain\_q19\_d8,0.244,0.124,1.97,0.189,0.002,0.040,0.028,0.069,2.72
GHZ-Chain\_q19\_d16,0.268,0.127,2.11,0.211,0.002,0.044,0.027,0.073,2.88
GHZ-Chain\_q19\_d25,0.347,0.152,2.29,0.279,0.002,0.056,0.030,0.089,3.14
GHZ-Chain\_q21\_d1,0.274,0.289,-,0.171,0.001,0.038,0.151,0.190,-
GHZ-Chain\_q21\_d4,0.271,0.180,1.51,0.175,0.001,0.041,0.031,0.074,2.36
GHZ-Chain\_q21\_d8,0.293,0.331,-,0.198,0.002,0.061,0.158,0.222,-
GHZ-Chain\_q21\_d16,0.383,0.262,1.46,0.260,0.002,0.060,0.042,0.104,2.50
GHZ-Chain\_q21\_d25,0.371,0.215,1.73,0.266,0.002,0.059,0.033,0.094,2.84
GHZ-Chain\_q23\_d1,0.584,0.507,1.15,0.169,0.001,0.038,0.038,0.078,2.18
GHZ-Chain\_q23\_d4,0.621,0.537,1.16,0.193,0.002,0.044,0.042,0.088,2.19
GHZ-Chain\_q23\_d8,0.645,0.546,1.18,0.211,0.002,0.046,0.038,0.086,2.45
GHZ-Chain\_q23\_d16,0.682,0.664,1.03,0.249,0.002,0.056,0.168,0.226,1.10
GHZ-Chain\_q23\_d25,0.721,0.681,1.06,0.291,0.003,0.067,0.161,0.231,1.26
LinearEnt\_q3\_d1,0.123,0.032,3.81,0.112,0.000,0.020,0.001,0.021,5.22
LinearEnt\_q3\_d4,0.131,0.033,3.94,0.120,0.001,0.022,0.001,0.023,5.20
LinearEnt\_q3\_d8,0.148,0.041,3.57,0.133,0.001,0.027,0.001,0.029,4.55
LinearEnt\_q3\_d16,0.246,0.059,4.19,0.228,0.002,0.039,0.001,0.042,5.38
LinearEnt\_q3\_d25,0.248,0.071,3.47,0.226,0.003,0.045,0.002,0.050,4.50
LinearEnt\_q7\_d1,0.134,0.038,3.51,0.119,0.001,0.021,0.002,0.024,4.97
LinearEnt\_q7\_d4,0.234,0.056,4.17,0.215,0.002,0.033,0.003,0.037,5.73
LinearEnt\_q7\_d8,0.242,0.080,3.01,0.218,0.003,0.048,0.005,0.056,3.93
LinearEnt\_q7\_d16,0.389,0.120,3.24,0.350,0.007,0.069,0.005,0.080,4.35
LinearEnt\_q7\_d25,0.587,0.153,3.84,0.481,0.008,0.094,0.007,0.108,4.47
LinearEnt\_q11\_d1,0.157,0.078,2.01,0.130,0.001,0.029,0.021,0.052,2.52
LinearEnt\_q11\_d4,0.231,0.094,2.44,0.202,0.002,0.043,0.020,0.066,3.08
LinearEnt\_q11\_d8,0.329,0.118,2.78,0.293,0.004,0.057,0.021,0.081,3.60
LinearEnt\_q11\_d16,0.734,0.173,4.25,0.678,0.007,0.088,0.023,0.118,5.74
LinearEnt\_q11\_d25,0.762,0.227,3.36,0.692,0.011,0.121,0.025,0.157,4.41
LinearEnt\_q15\_d1,0.214,0.155,1.38,0.168,0.001,0.039,0.068,0.108,1.55
LinearEnt\_q15\_d4,0.374,0.206,1.82,0.309,0.004,0.063,0.075,0.142,2.18
LinearEnt\_q15\_d8,0.546,0.233,2.35,0.466,0.007,0.094,0.055,0.156,2.99
LinearEnt\_q15\_d16,0.935,0.338,2.76,0.819,0.014,0.137,0.062,0.214,3.83
LinearEnt\_q15\_d25,1.736,0.479,3.62,1.528,0.024,0.212,0.075,0.311,4.91
LinearEnt\_q19\_d1,0.273,0.233,1.17,0.196,0.002,0.040,0.122,0.164,1.20
LinearEnt\_q19\_d4,0.498,0.460,1.08,0.367,0.005,0.080,0.265,0.351,1.05
LinearEnt\_q19\_d8,0.683,0.550,1.24,0.526,0.010,0.107,0.256,0.373,1.41
LinearEnt\_q19\_d16,1.214,0.620,1.96,0.946,0.019,0.161,0.132,0.312,3.04
LinearEnt\_q19\_d25,1.718,0.999,1.72,1.307,0.030,0.223,0.142,0.395,3.31
LinearEnt\_q21\_d1,0.334,0.339,-,0.208,0.002,0.043,0.175,0.220,-
