size,method,e2e_latency,final_cache_size
50,TransCache(Proposed),4.978849098319188,25
50,TransCache(Adaptive),5.564965999685228,10
50,FirstSeen,6.690368798561394,43
50,ParamReuse,8.684482901124284,21
50,FullCompilation,8.184469599276781,0
100,TransCache(Proposed),8.927387001924217,25
100,TransCache(Adaptive),9.641206398140639,17
100,FirstSeen,9.728277300251648,74
100,ParamReuse,10.977856698445976,43
100,FullCompilation,12.658540000440553,0
150,TransCache(Proposed),17.941607401007786,25
150,TransCache(Adaptive),21.437867099884897,40
150,FirstSeen,17.35276059876196,86
150,ParamReuse,21.659258200088516,52
150,FullCompilation,27.048916099593043,0
200,TransCache(Proposed),20.506172098685056,25
200,TransCache(Adaptive),22.120330599835142,51
200,FirstSeen,19.184797200141475,109
200,ParamReuse,25.510466993786395,63
200,FullCompilation,28.899754401529208,0
300,TransCache(Proposed),31.902077599894255,25
300,TransCache(Adaptive),30.70599049841985,69
300,FirstSeen,25.575357301859185,141
300,ParamReuse,34.694139199797064,86
300,FullCompilation,44.03466750215739,0
350,TransCache(Proposed),31.726704799570143,25
350,TransCache(Adaptive),28.94908820115961,74
350,FirstSeen,23.479742802213877,134
350,ParamReuse,36.07534639770165,75
350,FullCompilation,45.331648097606376,0
400,TransCache(Proposed),43.83776870183647,25
400,TransCache(Adaptive),40.352079099975526,88
400,FirstSeen,34.737643202068284,162
400,ParamReuse,56.19237699965015,88
400,FullCompilation,62.12580659613013,0
450,TransCache(Proposed),42.590889603830874,25
450,TransCache(Adaptive),36.30055840034038,88
450,FirstSeen,31.264368497999385,170
450,ParamReuse,46.841687496285886,99
450,FullCompilation,58.357825498329476,0
500,TransCache(Proposed),56.04048719932325,25
500,TransCache(Adaptive),49.12016949872486,93
500,FirstSeen,40.49319739989005,171
500,ParamReuse,75.76718089613132,98
500,FullCompilation,88.59800789924338,0
