size,method,e2e_latency,final_cache_size
50,TransCache(Adaptive),6.917381298262626,9
50,TransCache(Proposed),5.553414101013914,25
50,FirstSeen,7.870476000243798,43
50,ParamReuse,8.970452598528937,21
50,FullCompilation,8.375042401719838,0
100,TransCache(Adaptive),10.03328930051066,15
100,TransCache(Proposed),8.749424797249958,25
100,FirstSeen,9.534099897136912,74
100,ParamReuse,10.916447001043707,43
100,FullCompilation,12.2990601004567,0
150,TransCache(Adaptive),24.39283340028487,13
150,TransCache(Proposed),18.697316301288083,25
150,FirstSeen,18.14311909954995,86
150,ParamReuse,22.38763149618171,52
150,FullCompilation,26.051088197389618,0
200,TransCache(Adaptive),23.48612039652653,20
200,TransCache(Proposed),20.960031401831657,25
200,FirstSeen,18.125876999925822,109
200,ParamReuse,23.27084139501676,63
200,FullCompilation,27.032084597973153,0
300,TransCache(Adaptive),33.96517880028114,26
300,TransCache(Proposed),31.2457074013073,25
300,FirstSeen,25.97676930227317,141
300,ParamReuse,34.86815139721148,86
300,FullCompilation,43.91540000378154,0
350,TransCache(Adaptive),34.444031096296385,26
350,TransCache(Proposed),32.23792720097117,25
350,FirstSeen,24.09043540037237,134
350,ParamReuse,36.689048001077026,75
350,FullCompilation,45.58289850130677,0
400,TransCache(Adaptive),48.67976440326311,26
400,TransCache(Proposed),45.08183640008792,25
400,FirstSeen,33.74470609705895,162
400,ParamReuse,48.63115109875798,88
400,FullCompilation,61.11886760080233,0
450,TransCache(Adaptive),46.29350630217232,26
450,TransCache(Proposed),43.711842300836,25
450,FirstSeen,31.666110101621598,170
450,ParamReuse,47.08944260235876,99
450,FullCompilation,58.66945010004565,0
500,TransCache(Adaptive),57.64751790044829,26
500,TransCache(Proposed),56.32324260286987,25
500,FirstSeen,41.03725500009023,171
500,ParamReuse,76.4783294016961,98
500,FullCompilation,89.24257219186984,0
