size,method,e2e_latency,final_cache_size
50,TransCache(Adaptive),13.965733799850568,9
50,TransCache(Proposed),8.252651501446962,25
50,FirstSeen,12.446386199444532,43
50,ParamReuse,23.058357799891382,21
50,FullCompilation,17.62213399913162,0
100,TransCache(Adaptive),19.477846601046622,15
100,TransCache(Proposed),15.517547300551087,25
100,FirstSeen,17.479367499472573,74
100,ParamReuse,26.702839501667768,43
100,FullCompilation,21.06398669956252,0
150,TransCache(Adaptive),46.44858040078543,14
150,TransCache(Proposed),29.900691200979054,25
150,FirstSeen,27.62968290038407,86
150,ParamReuse,49.51969839911908,52
150,FullCompilation,51.16593899880536,0
200,TransCache(Adaptive),45.59957480034791,21
200,TransCache(Proposed),38.325070600025356,25
200,FirstSeen,29.105303599033505,109
200,ParamReuse,56.40725249773823,63
200,FullCompilation,53.488398500718176,0
300,TransCache(Adaptive),56.95813809707761,26
300,TransCache(Proposed),48.815765499835834,25
300,FirstSeen,33.84397309739143,141
300,ParamReuse,75.05845459830016,86
300,FullCompilation,77.60769770247862,0
350,TransCache(Adaptive),66.88790549943224,26
350,TransCache(Proposed),57.860392899485305,25
350,FirstSeen,36.41424390114844,134
350,ParamReuse,82.9525223011151,75
350,FullCompilation,89.08152209990658,0
400,TransCache(Adaptive),90.20465629943646,26
400,TransCache(Proposed),75.87532040057704,25
400,FirstSeen,52.29897940088995,162
400,ParamReuse,238.455065399874,88
400,FullCompilation,289.6643793019466,0
450,TransCache(Adaptive),212.4134761004243,26
450,TransCache(Proposed),206.17699469951913,25
450,FirstSeen,121.91279610269703,170
450,ParamReuse,273.7005981011316,99
450,FullCompilation,273.70876730629243,0
500,TransCache(Adaptive),241.72435520030558,26
500,TransCache(Proposed),282.56301539740525,25
500,FirstSeen,125.33515080041252,171
500,ParamReuse,421.68597529875115,98
500,FullCompilation,432.75597339798696,0
