size,method,e2e_latency,final_cache_size
50,TransCache(Proposed),1.1709380995016545,21
50,FirstSeen,1.3338123997673392,21
50,ParamReuse,2.2026515007019043,13
50,FullCompilation,3.2961792999412864,0
100,TransCache(Proposed),2.0280325000640005,25
100,FirstSeen,2.1431949997786433,28
100,ParamReuse,5.363953499821946,16
100,FullCompilation,6.329942299518734,0
150,TransCache(Proposed),3.4067613016813993,25
150,FirstSeen,3.3740923977456987,41
150,ParamReuse,8.104997098445892,24
150,FullCompilation,11.726955499500036,0
200,TransCache(Proposed),4.725152302067727,25
200,FirstSeen,3.691827999195084,45
200,ParamReuse,9.411531399702653,25
200,FullCompilation,13.503294300287962,0
300,TransCache(Proposed),6.421435298398137,25
300,FirstSeen,5.33832369861193,46
300,ParamReuse,19.294219395844266,24
300,FullCompilation,27.70913680223748,0
