size,method,e2e_latency,final_cache_size
50,TransCache(Proposed),1.168890001019463,21
50,TransCache(Adaptive),1.5388164999894798,10
50,FirstSeen,1.3553379997611046,21
50,ParamReuse,2.0825913997832686,13
50,FullCompilation,2.8772568001877517,0
100,TransCache(Proposed),2.0715828989632428,25
100,TransCache(Adaptive),3.0920135979540646,19
100,FirstSeen,2.1438979995436966,28
100,ParamReuse,5.028752698330209,16
100,FullCompilation,6.231118900235742,0
150,TransCache(Proposed),3.3772416992578655,25
150,TransCache(Adaptive),4.505742201348767,22
150,FirstSeen,3.2994512009900063,41
150,ParamReuse,7.9369659966323525,24
150,FullCompilation,11.48939999891445,0
200,TransCache(Proposed),4.1914089997299016,25
200,TransCache(Adaptive),4.83887880272232,27
200,FirstSeen,3.400479899952188,45
200,ParamReuse,8.518753699027002,25
200,FullCompilation,12.433387001045048,0
300,TransCache(Proposed),5.929912999738008,25
300,TransCache(Adaptive),6.836292002582923,37
300,FirstSeen,4.8746079984121025,46
300,ParamReuse,16.84470929647796,24
300,FullCompilation,24.59858210128732,0
