size,method,e2e_latency,final_cache_size
50,TransCache(Proposed),1.187156299361959,21
50,TransCache(Adaptive),1.5654781002085656,10
50,FirstSeen,1.3770205001346767,21
50,ParamReuse,2.084507201332599,13
50,FullCompilation,2.9442386999726295,0
100,TransCache(Proposed),2.462048599263653,25
100,TransCache(Adaptive),7.153616800671443,19
100,FirstSeen,5.306630600243807,28
100,ParamReuse,8.497710598399863,16
100,FullCompilation,6.930379502475262,0
150,TransCache(Proposed),3.6356210007797927,25
150,TransCache(Adaptive),4.674810301978141,22
150,FirstSeen,3.5566340007353574,41
150,ParamReuse,8.738272298593074,24
150,FullCompilation,12.320905301952735,0
200,TransCache(Proposed),4.200349102029577,25
200,TransCache(Adaptive),5.268676000414416,27
200,FirstSeen,3.66797539871186,45
200,ParamReuse,9.242533101700246,25
200,FullCompilation,13.1401381008327,0
300,TransCache(Proposed),7.1682852995581925,25
300,TransCache(Adaptive),14.1665776995942,37
300,FirstSeen,11.315024302341044,46
300,ParamReuse,40.11986580048688,24
300,FullCompilation,62.43715330329724,0
350,TransCache(Proposed),9.77379870112054,25
350,TransCache(Adaptive),7.56513170292601,42
350,FirstSeen,5.092836300609633,50
350,ParamReuse,20.97975749988109,28
350,FullCompilation,28.066537097329274,0
400,TransCache(Proposed),7.81293910020031,25
400,TransCache(Adaptive),8.204794897232205,42
400,FirstSeen,5.7628023030702025,53
400,ParamReuse,18.821114500286058,31
400,FullCompilation,29.117648396408185,0
