size,method,e2e_latency,final_cache_size
50,TransCache(Proposed),1.1761063991580158,21
50,TransCache(Adaptive),1.4543639994226396,10
50,FirstSeen,1.4781725015491247,21
50,ParamReuse,2.074890900403261,13
50,FullCompilation,2.9701542989350855,0
100,TransCache(Proposed),2.1026848000474274,25
100,TransCache(Adaptive),3.0519036997575313,19
100,FirstSeen,2.1191753004677594,28
100,ParamReuse,4.965260900557041,16
100,FullCompilation,6.161001898115501,0
150,TransCache(Proposed),3.34768980066292,25
150,TransCache(Adaptive),4.221969000063837,22
150,FirstSeen,3.454003799473867,41
150,ParamReuse,7.993769797496498,24
150,FullCompilation,11.522536200704053,0
200,TransCache(Proposed),3.882621899014339,25
200,TransCache(Adaptive),4.602092200657353,28
200,FirstSeen,3.4040111009962857,45
200,ParamReuse,8.455314000835642,25
200,FullCompilation,12.458610197762027,0
300,TransCache(Proposed),6.127921501174569,25
300,TransCache(Adaptive),6.614686903078109,38
300,FirstSeen,4.928117198636755,46
300,ParamReuse,16.912411198252812,24
300,FullCompilation,24.934310504468158,0
350,TransCache(Proposed),6.845647902227938,25
350,TransCache(Adaptive),6.995311302598566,42
350,FirstSeen,4.935136401327327,50
350,ParamReuse,36.538856498664245,28
350,FullCompilation,32.550247200764716,0
400,TransCache(Proposed),7.812576201278716,25
400,TransCache(Adaptive),7.543375697452575,44
400,FirstSeen,5.5137296030297875,53
400,ParamReuse,18.59137600264512,31
400,FullCompilation,28.72649109736085,0
450,TransCache(Proposed),8.45662469835952,25
450,TransCache(Adaptive),8.727213402744383,46
450,FirstSeen,6.478040401125327,54
450,ParamReuse,18.766864998731762,30
450,FullCompilation,34.195855194469914,0
500,TransCache(Proposed),11.89179269829765,25
500,TransCache(Adaptive),9.7808690990787,47
500,FirstSeen,6.5355490010697395,56
500,ParamReuse,17.510672298492864,32
500,FullCompilation,31.839051303220913,0
