ts_utc,backend,last_update_date_iso,n_qubits,operational,status_msg,pending_jobs,dt,sx_length_med,twoq_length_med,T1_median_us,T2_median_us,readout_err_mean,sx_gate_err_median,twoq_gate_used,twoq_gate_err_median,twoq_gate_err_min,twoq_gate_err_max,basis_hash,coupling_hash,error
2025-10-20T20:17:30Z,ibm_brisbane,2025-10-02T17:01:31-04:00,127,True,maintenance,3720,5e-10,60.0,660.0,235232540.37,136840820.5,0.035484,0.000264,ecr,0.007818,0.002745,1,8c8c37bc5ec3,9abb4c625b8a,
2025-10-20T20:22:30Z,ibm_brisbane,2025-10-02T17:01:31-04:00,127,True,maintenance,3720,5e-10,60.0,660.0,235232540.37,136840820.5,0.035484,0.000264,ecr,0.007818,0.002745,1,8c8c37bc5ec3,9abb4c625b8a,
2025-10-20T20:27:30Z,ibm_brisbane,2025-10-02T17:01:31-04:00,127,True,maintenance,3720,5e-10,60.0,660.0,235232540.37,136840820.5,0.035484,0.000264,ecr,0.007818,0.002745,1,8c8c37bc5ec3,9abb4c625b8a,
2025-10-20T20:32:31Z,ibm_brisbane,2025-10-02T17:01:31-04:00,127,True,maintenance,3720,5e-10,60.0,660.0,235232540.37,136840820.5,0.035484,0.000264,ecr,0.007818,0.002745,1,8c8c37bc5ec3,9abb4c625b8a,
2025-10-20T20:37:30Z,ibm_brisbane,2025-10-20T10:02:11-04:00,127,True,active,3721,5e-10,60.0,660.0,231238935.02,138584749.78,0.034556,0.000255,ecr,0.006201,0.002833,1,8c8c37bc5ec3,9abb4c625b8a,
2025-10-20T20:42:30Z,ibm_brisbane,2025-10-20T10:02:11-04:00,127,True,active,3723,5e-10,60.0,660.0,231238935.02,138584749.78,0.034556,0.000255,ecr,0.006201,0.002833,1,8c8c37bc5ec3,9abb4c625b8a,
2025-10-20T20:47:30Z,ibm_brisbane,2025-10-20T10:02:11-04:00,127,True,active,3724,5e-10,60.0,660.0,231238935.02,138584749.78,0.034556,0.000255,ecr,0.006201,0.002833,1,8c8c37bc5ec3,9abb4c625b8a,
2025-10-20T20:52:31Z,ibm_brisbane,2025-10-20T10:02:11-04:00,127,True,active,3725,5e-10,60.0,660.0,231238935.02,138584749.78,0.034556,0.000255,ecr,0.006201,0.002833,1,8c8c37bc5ec3,9abb4c625b8a,
2025-10-20T20:57:30Z,ibm_brisbane,2025-10-20T10:02:11-04:00,127,True,active,3725,5e-10,60.0,660.0,231238935.02,138584749.78,0.034556,0.000255,ecr,0.006201,0.002833,1,8c8c37bc5ec3,9abb4c625b8a,
2025-10-20T21:02:31Z,ibm_brisbane,2025-10-20T10:02:11-04:00,127,True,active,3726,5e-10,60.0,660.0,231238935.02,138584749.78,0.034556,0.000255,ecr,0.006201,0.002833,1,8c8c37bc5ec3,9abb4c625b8a,
2025-10-20T21:07:30Z,ibm_brisbane,2025-10-20T10:02:11-04:00,127,True,active,3724,5e-10,60.0,660.0,231238935.02,138584749.78,0.034556,0.000255,ecr,0.006201,0.002833,1,8c8c37bc5ec3,9abb4c625b8a,
2025-10-20T21:12:31Z,ibm_brisbane,2025-10-20T10:02:11-04:00,127,True,active,3724,5e-10,60.0,660.0,231238935.02,138584749.78,0.034556,0.000255,ecr,0.006201,0.002833,1,8c8c37bc5ec3,9abb4c625b8a,
2025-10-20T21:17:30Z,ibm_brisbane,2025-10-20T10:02:11-04:00,127,True,active,3725,5e-10,60.0,660.0,231238935.02,138584749.78,0.034556,0.000255,ecr,0.006201,0.002833,1,8c8c37bc5ec3,9abb4c625b8a,
2025-10-20T21:22:30Z,ibm_brisbane,2025-10-20T10:02:11-04:00,127,True,active,3725,5e-10,60.0,660.0,231238935.02,138584749.78,0.034556,0.000255,ecr,0.006201,0.002833,1,8c8c37bc5ec3,9abb4c625b8a,
