size,method,e2e_latency,final_cache_size
50,FS+Pre,0.8169681010767817,22
50,FS,0.9026620010845363,22
50,PR,1.5354555021040142,13
100,FS+Pre,1.8681701002642512,34
100,FS,1.6601155009120703,34
100,PR,3.04185330029577,21
150,FS+Pre,1.9598119999282062,39
150,FS,2.0041817976161838,39
150,PR,4.712725200224668,22
200,FS+Pre,2.0042990990914404,41
200,FS,2.0916189993731678,41
200,PR,6.25690480042249,25
300,FS+Pre,2.247644899878651,51
300,FS,2.4815911995247006,51
300,PR,10.817343198228627,30
350,FS+Pre,2.278668697923422,54
350,FS,2.6457397993654013,54
350,PR,13.067147402558476,30
