size,method,e2e_latency,final_cache_size
50,FS+Pre,5.499881500378251,34
50,FS,5.220638799481094,34
50,PR,7.6370620992966,21
100,FS+Pre,9.383838701061904,55
100,FS,10.259285999462008,55
100,PR,16.721832001581788,29
150,FS+Pre,8.346784001216292,62
150,FS,8.192044500261545,62
150,PR,16.839443300385028,38
200,FS+Pre,10.432750698179007,75
200,FS,10.917055997997522,75
200,PR,28.325133200269192,42
300,FS+Pre,13.013860501814634,93
300,FS,13.439945396501571,93
300,PR,35.17712079640478,55
350,FS+Pre,13.437252599280328,91
350,FS,13.607561799231917,91
350,PR,53.681872898712754,49
400,FS+Pre,13.873443700373173,93
400,FS,14.306168097537011,93
400,PR,47.543330404441804,48
450,FS+Pre,12.436645901761949,94
450,FS,12.6477789003402,94
450,PR,39.890290699433535,51
500,FS+Pre,15.309374200180173,99
500,FS,14.326120698824525,99
500,PR,85.8126099971123,60
