size,round,method,e2e_latency,final_cache_size,final_hitrate
20,1,FS+Pre+ttl+SE+ema,0.5554016999376472,16,0.35
20,1,FS+ttl+SE+ema,0.7845650002127513,16,0.2
20,1,FS+Pre,0.5435489000519738,16,0.35
20,1,FS,0.699093499861192,16,0.2
20,1,NoCache,0.804934599873377,0,0.0
20,2,FS+Pre+ttl+SE+ema,0.9157687998958863,17,0.3
20,2,FS+ttl+SE+ema,0.9903846000961494,17,0.15
20,2,FS+Pre,0.8849339999433141,17,0.3
20,2,FS,1.1412117000145372,17,0.15
20,2,NoCache,1.2410946999152657,0,0.0
20,3,FS+Pre+ttl+SE+ema,0.7249922001501545,16,0.35
20,3,FS+ttl+SE+ema,0.8927739000064321,16,0.2
20,3,FS+Pre,0.6836214998911601,16,0.35
20,3,FS,0.9339443999633659,16,0.2
20,3,NoCache,1.0760417999699712,0,0.0
20,4,FS+Pre+ttl+SE+ema,0.9914578000025358,15,0.4
20,4,FS+ttl+SE+ema,1.0072365999221802,15,0.25
20,4,FS+Pre,0.8456074002024252,15,0.4
20,4,FS,1.0395815998490434,15,0.25
20,4,NoCache,1.3864520999777596,0,0.0
20,5,FS+Pre+ttl+SE+ema,0.9854845000372734,17,0.3
20,5,FS+ttl+SE+ema,1.2425835999601986,17,0.15
20,5,FS+Pre,0.9218778000504244,17,0.3
20,5,FS,1.2521680999197997,17,0.15
20,5,NoCache,1.3797177000087686,0,0.0
50,1,FS+Pre+ttl+SE+ema,1.6906166996923275,32,0.34
50,1,FS+ttl+SE+ema,1.985157999850344,32,0.28
50,1,FS+Pre,1.7070552001241595,35,0.36
50,1,FS,1.8995823999866843,35,0.3
50,1,NoCache,2.5743982999119908,0,0.0
50,2,FS+Pre+ttl+SE+ema,1.7889651998120826,32,0.34
50,2,FS+ttl+SE+ema,2.0828854000137653,32,0.28
50,2,FS+Pre,1.7632415000116453,35,0.36
50,2,FS,2.021599200059427,35,0.3
50,2,NoCache,2.5951291999663226,0,0.0
50,3,FS+Pre+ttl+SE+ema,1.9245033000188414,32,0.34
50,3,FS+ttl+SE+ema,1.8796338000393007,32,0.28
50,3,FS+Pre,1.7879028001916595,35,0.36
50,3,FS,2.0484976998122875,35,0.3
50,3,NoCache,2.738533000112511,0,0.0
50,4,FS+Pre+ttl+SE+ema,2.0849548998230603,32,0.36
50,4,FS+ttl+SE+ema,2.796582600043621,32,0.28
50,4,FS+Pre,2.116312000231119,34,0.4
50,4,FS,2.3494583000137936,34,0.32
50,4,NoCache,2.9800020999100525,0,0.0
50,5,FS+Pre+ttl+SE+ema,2.550425100082066,27,0.46
50,5,FS+ttl+SE+ema,2.4280533003038727,27,0.38
50,5,FS+Pre,1.9460659000324085,29,0.5
50,5,FS,2.276982599927578,29,0.42
50,5,NoCache,3.0659123999939766,0,0.0
