size,round,method,e2e_latency,final_cache_size,final_hitrate
100,1,FS+Pre+ttl+SE+ema,2.4881838000004564,41,0.55
100,1,FS+ttl+SE+ema,2.914234399999941,41,0.51
100,1,FS+Pre,2.479365499999176,48,0.56
100,1,FS,2.9262441000004173,48,0.52
100,1,NoCache,5.067966100000831,0,0.0
100,2,FS+Pre+ttl+SE+ema,3.2126631000006682,53,0.42
100,2,FS+ttl+SE+ema,4.023514799999475,53,0.39
100,2,FS+Pre,3.1969145999999,56,0.47
100,2,FS,3.7752098000004253,56,0.44
100,2,NoCache,6.369262399999457,0,0.0
100,3,FS+Pre+ttl+SE+ema,2.986266300000011,45,0.5
100,3,FS+ttl+SE+ema,3.1813772999996672,45,0.47
100,3,FS+Pre,2.826793199999429,50,0.53
100,3,FS,3.089434500000607,50,0.5
100,3,NoCache,5.320727799998394,0,0.0
100,4,FS+Pre+ttl+SE+ema,3.064072199999373,48,0.48
100,4,FS+ttl+SE+ema,3.706512199998315,48,0.44
100,4,FS+Pre,3.126339099999086,53,0.51
100,4,FS,3.9450906000017767,53,0.47
100,4,NoCache,6.091067500003646,0,0.0
100,5,FS+Pre+ttl+SE+ema,3.9026187999970716,52,0.44
100,5,FS+ttl+SE+ema,4.170069399998965,52,0.4
100,5,FS+Pre,3.5629102999982933,58,0.46
100,5,FS,4.598525800002562,58,0.42
100,5,NoCache,5.866688600002135,0,0.0
