size,round,method,e2e_latency,final_cache_size,final_hitrate
20,1,FS+Pre+ttl+SE+ema,0.3823192000272684,16,0.35
20,1,FS+ttl+SE+ema,0.4376327000791207,16,0.2
20,1,FS+Pre,0.37557950004702434,16,0.35
20,1,FS,0.46379519993206486,16,0.2
20,1,NoCache,0.5309584000206087,0,0.0
20,2,FS+Pre+ttl+SE+ema,0.5933889999578241,17,0.3
20,2,FS+ttl+SE+ema,0.6142034000076819,17,0.15
20,2,FS+Pre,0.577793299977202,17,0.3
20,2,FS,0.6802210000168998,17,0.15
20,2,NoCache,0.8231512999918777,0,0.0
20,3,FS+Pre+ttl+SE+ema,1.1202918000053614,16,0.35
20,3,FS+ttl+SE+ema,2.8503676000400446,16,0.2
20,3,FS+Pre,1.0228294000553433,16,0.35
20,3,FS,1.2263639000011608,16,0.2
20,3,NoCache,2.656205800070893,0,0.0
20,4,FS+Pre+ttl+SE+ema,3.2078357000427786,15,0.4
20,4,FS+ttl+SE+ema,1.5509916000301018,15,0.25
20,4,FS+Pre,1.9721052000531927,15,0.4
20,4,FS,2.4239817000052426,15,0.25
20,4,NoCache,3.0859196000092197,0,0.0
20,5,FS+Pre+ttl+SE+ema,2.725014700059546,17,0.3
20,5,FS+ttl+SE+ema,3.2400655999663286,17,0.15
20,5,FS+Pre,4.203831999970134,17,0.3
20,5,FS,3.0496262000815477,17,0.15
20,5,NoCache,3.1567847998812795,0,0.0
50,1,FS+Pre+ttl+SE+ema,3.9370607000309974,32,0.34
50,1,FS+ttl+SE+ema,2.8233836000435986,32,0.28
50,1,FS+Pre,2.4973964999080636,35,0.36
50,1,FS,3.0185047000995837,35,0.3
50,1,NoCache,4.595722500118427,0,0.0
50,2,FS+Pre+ttl+SE+ema,4.113048000057461,32,0.34
50,2,FS+ttl+SE+ema,4.679849600157468,32,0.28
50,2,FS+Pre,1.202803899999708,35,0.36
50,2,FS,1.3646885001217015,35,0.3
50,2,NoCache,1.7995837999915238,0,0.0
50,3,FS+Pre+ttl+SE+ema,1.2359031000523828,32,0.34
50,3,FS+ttl+SE+ema,1.2177074000937864,32,0.28
50,3,FS+Pre,1.1418562000617385,35,0.36
50,3,FS,1.2968137999705505,35,0.3
50,3,NoCache,1.7191230000462383,0,0.0
50,4,FS+Pre+ttl+SE+ema,1.326413999981014,32,0.36
50,4,FS+ttl+SE+ema,1.459659399901284,32,0.28
50,4,FS+Pre,1.2346556999254972,34,0.4
50,4,FS,1.4125762999465223,34,0.32
50,4,NoCache,2.1676520998880733,0,0.0
50,5,FS+Pre+ttl+SE+ema,3.512498200085247,27,0.46
50,5,FS+ttl+SE+ema,1.2739204001263715,27,0.38
50,5,FS+Pre,1.0309587001684122,29,0.5
50,5,FS,1.2125362998631317,29,0.42
50,5,NoCache,2.014881599927321,0,0.0
100,1,FS+Pre+ttl+SE+ema,1.9965561001154128,47,0.49
100,1,FS+ttl+SE+ema,1.7973151001497172,47,0.45
100,1,FS+Pre,1.6441073999449145,54,0.5
100,1,FS,1.9141412000462878,54,0.46
100,1,NoCache,3.026066199905472,0,0.0
100,2,FS+Pre+ttl+SE+ema,1.7080178998876363,45,0.51
100,2,FS+ttl+SE+ema,1.8543975000502542,45,0.47
100,2,FS+Pre,1.7340648997633252,51,0.53
100,2,FS,1.679153300006874,51,0.49
100,2,NoCache,3.2871250001189765,0,0.0
100,3,FS+Pre+ttl+SE+ema,1.7021561000146903,49,0.47
100,3,FS+ttl+SE+ema,1.97845809996943,49,0.43
100,3,FS+Pre,4.614893399964785,56,0.48
100,3,FS,6.5423483001068234,56,0.44
100,3,NoCache,11.918931900057942,0,0.0
100,4,FS+Pre+ttl+SE+ema,2.734324600023683,49,0.46
100,4,FS+ttl+SE+ema,1.8884602001053281,49,0.43
100,4,FS+Pre,1.9645881000033114,54,0.49
100,4,FS,2.1782107999606524,54,0.46
100,4,NoCache,3.6463483999541495,0,0.0
100,5,FS+Pre+ttl+SE+ema,1.906818999996176,45,0.5
100,5,FS+ttl+SE+ema,1.9244158998480998,45,0.47
100,5,FS+Pre,1.6144833998987451,49,0.54
100,5,FS,1.620523800054798,49,0.51
100,5,NoCache,3.1442356998159084,0,0.0
