size,round,method,e2e_latency,final_cache_size,final_hitrate
200,1,FS+Pre+ttl+SE+ema,2.3036008998169564,56,0.65
200,1,FS+ttl+SE+ema,2.5594238999765366,56,0.63
200,1,FS+Pre,1.970626199792605,65,0.695
200,1,FS,2.4870198999124113,65,0.675
200,1,NoCache,6.322862400003942,0,0.0
200,2,FS+Pre+ttl+SE+ema,2.7119563000742346,72,0.57
200,2,FS+ttl+SE+ema,3.2264400999993086,72,0.55
200,2,FS+Pre,2.4829149002034683,78,0.63
200,2,FS,2.4401173997903243,78,0.61
200,2,NoCache,6.006167099723825,0,0.0
200,3,FS+Pre+ttl+SE+ema,2.297576300072251,56,0.645
200,3,FS+ttl+SE+ema,2.703291300073033,56,0.63
200,3,FS+Pre,2.2154475999996066,65,0.69
200,3,FS,2.147710999852279,65,0.675
200,3,NoCache,6.203198100120062,0,0.0
200,4,FS+Pre+ttl+SE+ema,2.737149599881377,62,0.62
200,4,FS+ttl+SE+ema,3.2987405998865142,62,0.6
200,4,FS+Pre,2.2439426000928506,71,0.665
200,4,FS,2.446772699826397,71,0.645
200,4,NoCache,7.723649399733404,0,0.0
200,5,FS+Pre+ttl+SE+ema,3.128082199837081,65,0.605
200,5,FS+ttl+SE+ema,3.1809366999659687,65,0.585
200,5,FS+Pre,2.768270799977472,76,0.64
200,5,FS,3.332000100053847,76,0.62
200,5,NoCache,7.229435099987313,0,0.0
250,1,FS+Pre+ttl+SE+ema,2.7387615000188816,61,0.676
250,1,FS+ttl+SE+ema,2.734819599922048,61,0.66
250,1,FS+Pre,2.3317846998397727,74,0.72
250,1,FS,2.3339953997638077,74,0.704
250,1,NoCache,8.491631400160259,0,0.0
250,2,FS+Pre+ttl+SE+ema,3.1852738996676635,62,0.672
250,2,FS+ttl+SE+ema,3.5372593000065535,62,0.656
250,2,FS+Pre,2.6812269001093227,76,0.712
250,2,FS,2.7651558000361547,76,0.696
250,2,NoCache,9.4988948997634,0,0.0
250,3,FS+Pre+ttl+SE+ema,3.358295799960615,73,0.628
250,3,FS+ttl+SE+ema,3.279388199938694,73,0.612
250,3,FS+Pre,2.7265472000290174,85,0.676
250,3,FS,3.015539900341537,85,0.66
250,3,NoCache,8.157780299865408,0,0.0
250,4,FS+Pre+ttl+SE+ema,2.795039300224744,61,0.676
250,4,FS+ttl+SE+ema,3.275188099971274,61,0.66
250,4,FS+Pre,2.448277199844597,74,0.72
250,4,FS,2.493847500096308,74,0.704
250,4,NoCache,9.16732729956857,0,0.0
250,5,FS+Pre+ttl+SE+ema,2.869436800159747,62,0.668
250,5,FS+ttl+SE+ema,3.016870999796083,62,0.656
250,5,FS+Pre,2.4440367999777663,77,0.704
250,5,FS,2.6250069001398515,77,0.692
250,5,NoCache,8.171216400165576,0,0.0
400,1,FS+Pre+ttl+SE+ema,3.4318747000652365,66,0.75
400,1,FS+ttl+SE+ema,3.9661125000275206,66,0.74
400,1,FS+Pre,2.886409400118282,89,0.7875
400,1,FS,2.8471924001351,89,0.7775
400,1,NoCache,12.61999399974593,0,0.0
400,2,FS+Pre+ttl+SE+ema,3.732667400036007,74,0.73
400,2,FS+ttl+SE+ema,3.779120900289854,74,0.72
400,2,FS+Pre,3.1875560001353733,95,0.7725
400,2,FS,3.3138570999435615,95,0.7625
400,2,NoCache,14.814405800047098,0,0.0
400,3,FS+Pre+ttl+SE+ema,3.842668100085575,79,0.7175
400,3,FS+ttl+SE+ema,3.9947434999921825,79,0.7075
400,3,FS+Pre,3.2520775002776645,99,0.7625
400,3,FS,3.7213897998444736,99,0.7525
400,3,NoCache,13.673635899904184,0,0.0
400,4,FS+Pre+ttl+SE+ema,3.5547262993932236,70,0.74
400,4,FS+ttl+SE+ema,3.4349709997477476,70,0.73
400,4,FS+Pre,3.25566010014154,90,0.785
400,4,FS,2.8492941000440624,90,0.775
400,4,NoCache,13.041863399470458,0,0.0
400,5,FS+Pre+ttl+SE+ema,4.206629200198222,80,0.7125
400,5,FS+ttl+SE+ema,4.157007999630878,80,0.705
400,5,FS+Pre,3.24075430011726,102,0.7525
400,5,FS,3.6458645001694094,102,0.745
400,5,NoCache,13.793628799758153,0,0.0
500,1,FS+Pre+ttl+SE+ema,4.340733300166903,88,0.736
500,1,FS+ttl+SE+ema,4.30646750019514,88,0.728
500,1,FS+Pre,3.529274200060172,111,0.786
500,1,FS,3.827936300134752,111,0.778
500,1,NoCache,16.023592000390636,0,0.0
500,2,FS+Pre+ttl+SE+ema,4.184039200190455,78,0.756
500,2,FS+ttl+SE+ema,4.1974583998380695,78,0.748
500,2,FS+Pre,3.2994024001818616,101,0.806
500,2,FS,3.290683400176931,101,0.798
500,2,NoCache,14.480427599570248,0,0.0
500,3,FS+Pre+ttl+SE+ema,4.47430320022977,77,0.758
500,3,FS+ttl+SE+ema,5.230663699563593,77,0.75
500,3,FS+Pre,3.3782688000937924,103,0.802
500,3,FS,3.8365925998368766,103,0.794
500,3,NoCache,16.11460380034987,0,0.0
500,4,FS+Pre+ttl+SE+ema,4.252454100031173,75,0.762
500,4,FS+ttl+SE+ema,4.0565433001029305,75,0.754
500,4,FS+Pre,3.3850528996554203,98,0.812
500,4,FS,3.5241993997769896,98,0.804
500,4,NoCache,16.56318420000025,0,0.0
500,5,FS+Pre+ttl+SE+ema,4.043243700056337,76,0.758
500,5,FS+ttl+SE+ema,3.9983471999585163,76,0.752
500,5,FS+Pre,3.420876499876613,101,0.804
500,5,FS,4.113902399782091,101,0.798
500,5,NoCache,17.100320100202225,0,0.0
