Circuit,Qubits,FS+Pre+ttl+SE+ema,FS,PR,Full
GHZ-Chain,3,64091.663693285525,8.782787283796404,7.754224813863492,1.0
GHZ-Chain,11,58316.092998611944,9.380342729770272,7.428383387425402,1.0
GHZ-Chain,17,46444.223932389315,8.855829584040215,7.090092153816349,1.0
GHZ-Chain,23,58846.39859242501,9.212593364024286,6.408850815954178,1.0
LinearEnt,3,63890.76994716575,9.157310031775262,8.061205749537361,1.0
LinearEnt,11,73664.3057301772,9.031664719800771,7.307684165235262,1.0
LinearEnt,17,93063.12063090946,8.88150058952374,5.518977728349983,1.0
LinearEnt,23,100408.500204347,9.58375879019739,3.883978018216175,1.0
QAOA-3reg,3,58479.68601870247,10.353840454363722,8.189443434885908,1.0
QAOA-3reg,11,56432.221085795594,9.77511168359364,5.346508403654019,1.0
QAOA-3reg,17,71615.35117417482,9.773343127207502,4.712147199176655,1.0
QAOA-3reg,23,54358.8260963491,10.082497070319745,4.885486090295499,1.0
QFT-Like,3,34061.70956851462,9.347590668187847,0.8154901946482328,1.0
QFT-Like,11,67256.83321835488,11.14979906640691,0.5521540363083969,1.0
QFT-Like,17,147752.76392279874,10.161092140239997,0.3936655545459925,1.0
QFT-Like,23,292496.57144704997,10.317230919515335,0.46651591910576024,1.0
QSIM-XXZ,3,33956.78914496972,5.281239357974962,7.629704070896148,1.0
QSIM-XXZ,11,59640.82919466066,9.909770647269202,5.374767260243318,1.0
QSIM-XXZ,17,78014.55612377476,9.706531361133036,4.746201998562685,1.0
QSIM-XXZ,23,58270.188709020236,10.321052731446951,4.624900785213665,1.0
RCA,3,63706.84824084852,9.167951828634457,0.860252126879121,1.0
RCA,11,74660.04915085941,8.255318795192634,0.6711845735766707,1.0
RCA,17,58735.79483305261,9.469485703121542,0.5854326356793449,1.0
RCA,23,58343.418498482046,9.306027016679193,0.5289663942616901,1.0
VQE-Full,3,74068.31837636103,8.328043345215074,0.7708652510660151,1.0
VQE-Full,11,73421.95279257254,8.053857551747596,0.5585778097161355,1.0
VQE-Full,17,61819.487285206684,9.272591479820864,0.5760849540273155,1.0
VQE-Full,23,65619.19819199106,9.705944328536784,0.5263328739541887,1.0
