Circuit,Qubits,FS+Pre+ttl+SE+ema,FS,PR,Full
GHZ-Chain,3,0.0156644999806303,0.0396687999891582,0.0408066000672988,0.2396802000002935
GHZ-Chain,11,0.0188695000542793,0.039612899912754,0.0481349999608937,0.2343215000000782
GHZ-Chain,17,0.0427073000464588,0.0913008000352419,0.1126152999058831,0.570085199928144
GHZ-Chain,23,0.8054450000054203,0.8983382999140304,0.943669200030854,1.4281797000439838
LinearEnt,3,0.0143408999720122,0.0401488999777939,0.0481484999472741,0.2721432000398636
LinearEnt,11,0.0373289000417571,0.0736137999920174,0.1311812999192625,0.3460793000413105
LinearEnt,17,0.1002423999307211,0.1830306999909225,0.2508861999958753,0.9044730999157764
LinearEnt,23,2.75494669994805,2.9197450999636203,2.871128399972804,3.7681962000206113
QAOA-3reg,3,0.0173784000508021,0.0472930000105407,0.06246000007377,0.2650956000434235
QAOA-3reg,11,0.0684095999749843,0.1069857999682426,0.2254481999552808,0.4560731000965461
QAOA-3reg,17,0.3590257999894675,0.2752965000108816,0.353491399961058,1.0574559000961017
QAOA-3reg,23,6.150680399994599,6.737457300041569,6.601145799882943,7.581354900059523
QFT-Like,3,0.0150711000023875,0.0386188000265974,0.2904917999985628,0.2368688999849837
QFT-Like,11,0.0619608999695628,0.1310790000134147,1.370846400008304,0.7502923000138253
QFT-Like,17,0.2678651000314858,0.4800060000270605,3.6357224000093993,1.8191396000329405
QFT-Like,23,20.610305499954848,20.56806790002156,30.11304149994976,27.04664230000344
QSIM-XXZ,3,0.017511000012746,0.0452573000220581,0.0534151999745518,0.2518403999565635
QSIM-XXZ,11,0.0669150000321678,0.1059916000813245,0.1396311000571586,0.4123651999689173
QSIM-XXZ,17,0.1334159000834915,0.2469514000986237,0.5315954000980128,1.0165745999838691
QSIM-XXZ,23,1.6671284000040032,1.7745589000114703,2.016215400042711,2.5838307999656536
RCA,3,0.0122357000072952,0.0352581999904941,0.2538827999669593,0.2190794000343885
RCA,11,0.0252903000218793,0.0544813999440521,0.400652100041043,0.3150954999728128
RCA,17,0.0752256999840028,0.1314911000081338,0.9861143999733032,0.6882132000173442
RCA,23,2.9857924999960237,2.858773399988422,3.4808668999758083,3.3060845999862067
VQE-Full,3,0.0138066999497823,0.0403158999106381,0.3852863000356592,0.2571759999846108
VQE-Full,11,0.0443633999384474,0.0639055999054107,0.4548857999616302,0.409876899968367
VQE-Full,17,0.1036675000505056,0.1843616999685764,1.0883732999791391,0.7526200000429526
VQE-Full,23,3.692476699972758,3.773396300006425,5.409953300084453,4.701793699961854
