Depth,N,Circuit,Qubits,Method,E2E_Latency_s,Speedup_vs_Full
4,10,GHZ-Chain,3,FS+Pre+ttl+SE+ema,3.6999117583036414e-06,64091.663693285525
4,10,GHZ-Chain,3,FS,0.0269998000003397,8.782787283796404
4,10,GHZ-Chain,3,PR,0.0305812000297009,7.754224813863492
4,10,GHZ-Chain,3,Full,0.2371335001080297,1.0
4,10,GHZ-Chain,11,FS+Pre+ttl+SE+ema,3.89997148886323e-06,58316.092998611944
4,10,GHZ-Chain,11,FS,0.0242455000407062,9.380342729770272
4,10,GHZ-Chain,11,PR,0.0306165000074543,7.428383387425402
4,10,GHZ-Chain,11,Full,0.2274311000364832,1.0
4,10,GHZ-Chain,17,FS+Pre+ttl+SE+ema,5.199981387704611e-06,46444.223932389315
4,10,GHZ-Chain,17,FS,0.0272712000296451,8.855829584040215
4,10,GHZ-Chain,17,PR,0.0340628999983891,7.090092153816349
4,10,GHZ-Chain,17,Full,0.2415091000148095,1.0
4,10,GHZ-Chain,23,FS+Pre+ttl+SE+ema,4.399975296109915e-06,58846.39859242501
4,10,GHZ-Chain,23,FS,0.0281052999780513,9.212593364024286
4,10,GHZ-Chain,23,PR,0.0404008000041358,6.408850815954178
4,10,GHZ-Chain,23,Full,0.2589227000717073,1.0
4,10,LinearEnt,3,FS+Pre+ttl+SE+ema,3.900029696524143e-06,63890.76994716575
4,10,LinearEnt,3,FS,0.0272105999756604,9.157310031775262
4,10,LinearEnt,3,PR,0.0309104999760165,8.061205749537361
4,10,LinearEnt,3,Full,0.2491759001277387,1.0
4,10,LinearEnt,11,FS+Pre+ttl+SE+ema,4.500034265220165e-06,73664.3057301772
4,10,LinearEnt,11,FS,0.0367033000220544,9.031664719800771
4,10,LinearEnt,11,PR,0.0453621000051498,7.307684165235262
4,10,LinearEnt,11,Full,0.3314918999094516,1.0
4,10,LinearEnt,17,FS+Pre+ttl+SE+ema,4.100031219422817e-06,93063.12063090946
4,10,LinearEnt,17,FS,0.0429614000604487,8.88150058952374
4,10,LinearEnt,17,PR,0.0691363000078126,5.518977728349983
4,10,LinearEnt,17,Full,0.3815616999636404,1.0
4,10,LinearEnt,23,FS+Pre+ttl+SE+ema,4.699977580457926e-06,100408.500204347
4,10,LinearEnt,23,FS,0.0492413999745622,9.58375879019739
4,10,LinearEnt,23,PR,0.1215036999783478,3.883978018216175
4,10,LinearEnt,23,Full,0.471917699847836,1.0
4,10,QFT-Like,3,FS+Pre+ttl+SE+ema,6.999995093792677e-06,34061.70956851462
4,10,QFT-Like,3,FS,0.0255073000444099,9.347590668187847
4,10,QFT-Like,3,PR,0.2923784999875352,0.8154901946482328
4,10,QFT-Like,3,Full,0.2384317998657934,1.0
4,10,QFT-Like,11,FS+Pre+ttl+SE+ema,1.079996582120657e-05,67256.83321835488
4,10,QFT-Like,11,FS,0.0651466000126674,11.14979906640691
4,10,QFT-Like,11,PR,1.3155233000870794,0.5521540363083969
4,10,QFT-Like,11,Full,0.7263715000008233,1.0
4,10,QFT-Like,17,FS+Pre+ttl+SE+ema,1.0799907613545656e-05,147752.76392279874
4,10,QFT-Like,17,FS,0.1570418000337667,10.161092140239997
4,10,QFT-Like,17,PR,4.053481900016777,0.3936655545459925
4,10,QFT-Like,17,Full,1.595716200012248,1.0
4,10,QFT-Like,23,FS+Pre+ttl+SE+ema,1.0800024028867485e-05,292496.57144704997
