Circuit,Qubits,FS+Pre+ttl+SE+ema,FS,PR,Full
GHZ-Chain,3,3.6999117583036414e-06,0.0269998000003397,0.0305812000297009,0.2371335001080297
GHZ-Chain,11,3.89997148886323e-06,0.0242455000407062,0.0306165000074543,0.2274311000364832
GHZ-Chain,17,5.199981387704611e-06,0.0272712000296451,0.0340628999983891,0.2415091000148095
GHZ-Chain,23,4.399975296109915e-06,0.0281052999780513,0.0404008000041358,0.2589227000717073
LinearEnt,3,3.900029696524143e-06,0.0272105999756604,0.0309104999760165,0.2491759001277387
LinearEnt,11,4.500034265220165e-06,0.0367033000220544,0.0453621000051498,0.3314918999094516
LinearEnt,17,4.100031219422817e-06,0.0429614000604487,0.0691363000078126,0.3815616999636404
LinearEnt,23,4.699977580457926e-06,0.0492413999745622,0.1215036999783478,0.471917699847836
QAOA-3reg,3,4.599976819008589e-06,0.0259812000440433,0.0328478000010363,0.269005200068932
QAOA-3reg,11,6.300047971308231e-06,0.0363705000490881,0.0664967999910004,0.3555256999679841
QAOA-3reg,17,6.099988240748644e-06,0.0446983999572694,0.0927077999804169,0.436852800019551
QAOA-3reg,23,9.699957445263864e-06,0.0522964000119827,0.1079274999792687,0.527278299909085
QFT-Like,3,6.999995093792677e-06,0.0255073000444099,0.2923784999875352,0.2384317998657934
QFT-Like,11,1.079996582120657e-05,0.0651466000126674,1.3155233000870794,0.7263715000008233
QFT-Like,17,1.0799907613545656e-05,0.1570418000337667,4.053481900016777,1.595716200012248
QFT-Like,23,1.0800024028867485e-05,0.3061838999856263,6.771408800035715,3.1589699999894947
QSIM-XXZ,3,7.399939931929111e-06,0.0475794000085443,0.0329342000186443,0.2512781999539584
QSIM-XXZ,11,5.89998671784997e-06,0.0355084000038914,0.0654688999638892,0.3518801000900566
QSIM-XXZ,17,5.599984433501959e-06,0.0450089000514708,0.0920483999652788,0.4368802998797036
QSIM-XXZ,23,9.000010322779417e-06,0.0508119000587612,0.1133932000375352,0.5244322998914868
RCA,3,3.600027412176132e-06,0.025016100029461,0.2666037000599317,0.2293464000103995
RCA,11,3.400025889277458e-06,0.0307494000298902,0.3782061000820249,0.2538461000076495
RCA,17,4.699919372797012e-06,0.0291518999729305,0.4715376000385731,0.2760535000124946
RCA,23,5.100038833916187e-06,0.0319743000436574,0.5625191000290215,0.2975537000456825
VQE-Full,3,3.400025889277458e-06,0.0302392998710274,0.3266902999021113,0.2518342000548728
VQE-Full,11,3.999914042651653e-06,0.0364647000678814,0.5257665000390261,0.2936815000139177
VQE-Full,17,4.799978341907263e-06,0.0320010000141337,0.5150841000140645,0.2967322000768035
VQE-Full,23,4.8999791033566e-06,0.0331273999763652,0.6108922999701463,0.3215326999197714
