d,N,circuit,q,method,e2e_latency,final_cache_size,final_hitrate
4,10,GHZ-Chain,3,FS+Pre+ttl+SE+ema,3.6999117583036423e-06,1,1.0
4,10,GHZ-Chain,3,FS,0.026999800000339746,1,0.9
4,10,GHZ-Chain,3,PR,0.030581200029700994,1,0.9
4,10,GHZ-Chain,3,Full,0.2371335001080297,0,0.0
4,10,GHZ-Chain,11,FS+Pre+ttl+SE+ema,3.89997148886323e-06,1,1.0
4,10,GHZ-Chain,11,FS,0.024245500040706247,1,0.9
4,10,GHZ-Chain,11,PR,0.030616500007454306,1,0.9
4,10,GHZ-Chain,11,Full,0.22743110003648326,0,0.0
4,10,GHZ-Chain,17,FS+Pre+ttl+SE+ema,5.199981387704611e-06,1,1.0
4,10,GHZ-Chain,17,FS,0.027271200029645115,1,0.9
4,10,GHZ-Chain,17,PR,0.034062899998389184,1,0.9
4,10,GHZ-Chain,17,Full,0.24150910001480952,0,0.0
4,10,GHZ-Chain,23,FS+Pre+ttl+SE+ema,4.399975296109915e-06,1,1.0
4,10,GHZ-Chain,23,FS,0.028105299978051335,1,0.9
4,10,GHZ-Chain,23,PR,0.04040080000413582,1,0.9
4,10,GHZ-Chain,23,Full,0.25892270007170737,0,0.0
4,10,LinearEnt,3,FS+Pre+ttl+SE+ema,3.900029696524143e-06,1,1.0
4,10,LinearEnt,3,FS,0.027210599975660443,1,0.9
4,10,LinearEnt,3,PR,0.03091049997601658,1,0.9
4,10,LinearEnt,3,Full,0.24917590012773871,0,0.0
4,10,LinearEnt,11,FS+Pre+ttl+SE+ema,4.500034265220165e-06,1,1.0
4,10,LinearEnt,11,FS,0.036703300022054464,1,0.9
4,10,LinearEnt,11,PR,0.04536210000514984,1,0.9
4,10,LinearEnt,11,Full,0.3314918999094516,0,0.0
4,10,LinearEnt,17,FS+Pre+ttl+SE+ema,4.100031219422817e-06,1,1.0
4,10,LinearEnt,17,FS,0.042961400060448796,1,0.9
4,10,LinearEnt,17,PR,0.06913630000781268,1,0.9
4,10,LinearEnt,17,Full,0.3815616999636404,0,0.0
4,10,LinearEnt,23,FS+Pre+ttl+SE+ema,4.699977580457926e-06,1,1.0
4,10,LinearEnt,23,FS,0.04924139997456223,1,0.9
4,10,LinearEnt,23,PR,0.12150369997834787,1,0.9
4,10,LinearEnt,23,Full,0.47191769984783605,0,0.0
4,10,QFT-Like,3,FS+Pre+ttl+SE+ema,6.999995093792677e-06,1,1.0
4,10,QFT-Like,3,FS,0.02550730004440993,1,0.9
4,10,QFT-Like,3,PR,0.2923784999875352,0,0.0
4,10,QFT-Like,3,Full,0.23843179986579344,0,0.0
4,10,QFT-Like,11,FS+Pre+ttl+SE+ema,1.079996582120657e-05,1,1.0
4,10,QFT-Like,11,FS,0.06514660001266748,1,0.9
4,10,QFT-Like,11,PR,1.3155233000870794,0,0.0
4,10,QFT-Like,11,Full,0.7263715000008233,0,0.0
4,10,QFT-Like,17,FS+Pre+ttl+SE+ema,1.0799907613545656e-05,1,1.0
4,10,QFT-Like,17,FS,0.15704180003376678,1,0.9
4,10,QFT-Like,17,PR,4.053481900016777,0,0.0
4,10,QFT-Like,17,Full,1.595716200012248,0,0.0
4,10,QFT-Like,23,FS+Pre+ttl+SE+ema,1.0800024028867483e-05,1,1.0
4,10,QFT-Like,23,FS,0.30618389998562634,1,0.9
4,10,QFT-Like,23,PR,6.771408800035715,0,0.0
4,10,QFT-Like,23,Full,3.1589699999894947,0,0.0
