Circuit,Qubits,Depth,Speedup_vs_Full,Method,N,E2E_Latency_s
GHZ-Chain,3,3,18.08945622926904,FS+Pre+ttl+SE+ema,10,0.0135339999687857
GHZ-Chain,3,3,7.521434716302893,FS,10,0.032550000003539
GHZ-Chain,3,3,6.465280084685328,PR,10,0.0378672999213449
GHZ-Chain,3,3,1.0,Full,10,0.2448227000422775
GHZ-Chain,3,4,15.9931903994265,FS+Pre+ttl+SE+ema,10,0.0138039999874308
GHZ-Chain,3,4,6.410055428392895,FS,10,0.0344411998521536
GHZ-Chain,3,4,4.771599927549879,PR,10,0.0462675000890158
GHZ-Chain,3,4,1.0,Full,10,0.2207700000726618
GHZ-Chain,11,3,14.956011467967524,FS+Pre+ttl+SE+ema,10,0.0173250000807456
GHZ-Chain,11,3,6.657611296790332,FS,10,0.0389197999611496
GHZ-Chain,11,3,5.271933584759913,PR,10,0.0491495000314898
GHZ-Chain,11,3,1.0,Full,10,0.2591128998901695
GHZ-Chain,11,4,13.404582541129017,FS+Pre+ttl+SE+ema,10,0.0178196000633761
GHZ-Chain,11,4,6.142317855657337,FS,10,0.0388883000705391
GHZ-Chain,11,4,2.4763991573348485,PR,10,0.0964562999433837
GHZ-Chain,11,4,1.0,Full,10,0.2388642998994328
GHZ-Chain,17,3,12.222158346735702,FS+Pre+ttl+SE+ema,10,0.0417639000806957
GHZ-Chain,17,3,5.225964112847336,FS,10,0.0976748000830411
GHZ-Chain,17,3,4.693445016392298,PR,10,0.1087570000672712
GHZ-Chain,17,3,1.0,Full,10,0.5104449999635108
GHZ-Chain,17,4,12.162655497161325,FS+Pre+ttl+SE+ema,10,0.0419118999270722
GHZ-Chain,17,4,5.737019507704908,FS,10,0.0888545000343583
GHZ-Chain,17,4,4.457210309037327,PR,10,0.1143675000057555
GHZ-Chain,17,4,1.0,Full,10,0.50976000004448
GHZ-Chain,23,3,1.6658341881909393,FS+Pre+ttl+SE+ema,10,0.7766369000310078
GHZ-Chain,23,3,1.3430054417844914,FS,10,0.9633232000633144
GHZ-Chain,23,3,0.9786485275586373,PR,10,1.3219743998488411
GHZ-Chain,23,3,1.0,Full,10,1.2937482998822816
GHZ-Chain,23,4,1.587399655593905,FS+Pre+ttl+SE+ema,10,0.8297075001173653
GHZ-Chain,23,4,1.4953252543264992,FS,10,0.8807966000167653
GHZ-Chain,23,4,1.402744702020048,PR,10,0.9389288001111707
GHZ-Chain,23,4,1.0,Full,10,1.3170773999299854
LinearEnt,3,3,19.81970445608085,FS+Pre+ttl+SE+ema,10,0.0129432000685483
LinearEnt,3,3,6.58202309828758,FS,10,0.038974399853032
LinearEnt,3,3,5.750551999185501,PR,10,0.0446097000967711
LinearEnt,3,3,1.0,Full,10,0.2565304000745527
LinearEnt,3,4,19.93222956280238,FS+Pre+ttl+SE+ema,10,0.0130839000921696
LinearEnt,3,4,6.148881944041459,FS,10,0.0424128000158816
LinearEnt,3,4,5.457734628316775,PR,10,0.0477838000515475
LinearEnt,3,4,1.0,Full,10,0.2607913002138957
LinearEnt,11,3,10.891198933000728,FS+Pre+ttl+SE+ema,10,0.0301431001280434
LinearEnt,11,3,5.1252290943070475,FS,10,0.0640546000795438
LinearEnt,11,3,4.048485217129973,PR,10,0.0810906999395228
LinearEnt,11,3,1.0,Full,10,0.3282944999518804
LinearEnt,11,4,10.574191080208676,FS+Pre+ttl+SE+ema,10,0.0336078000837005
LinearEnt,11,4,5.169538903271537,FS,10,0.0687441001064144
LinearEnt,11,4,3.834330100810017,PR,10,0.0926825000788085
LinearEnt,11,4,1.0,Full,10,0.3553752998705022
LinearEnt,17,3,10.53396417105172,FS+Pre+ttl+SE+ema,10,0.0982829999411478
LinearEnt,17,3,6.243827248589462,FS,10,0.1658132998854853
LinearEnt,17,3,3.773857864085362,PR,10,0.274337200098671
LinearEnt,17,3,1.0,Full,10,1.0353096000035291
LinearEnt,17,4,9.059614862439785,FS+Pre+ttl+SE+ema,10,0.0988713001133874
LinearEnt,17,4,5.054606411782834,FS,10,0.1772117998916655
LinearEnt,17,4,3.7975668905551796,PR,10,0.2358709999825805
LinearEnt,17,4,1.0,Full,10,0.895735899975989
LinearEnt,23,3,1.4351528995350644,FS+Pre+ttl+SE+ema,10,2.116209500003606
LinearEnt,23,3,1.3499084935625387,FS,10,2.2498445001547225
LinearEnt,23,3,1.3119109443113803,PR,10,2.315007899829652
LinearEnt,23,3,1.0,Full,10,3.0370841999538243
LinearEnt,23,4,1.3560699691116695,FS+Pre+ttl+SE+ema,10,2.682925500033889
LinearEnt,23,4,1.259055260769063,FS,10,2.8896544999442995
LinearEnt,23,4,1.3080626396618673,PR,10,2.781391800090205
LinearEnt,23,4,1.0,Full,10,3.6382346999598663
QFT-Like,3,3,17.421826410564353,FS+Pre+ttl+SE+ema,10,0.0136376000009477
QFT-Like,3,3,6.352130135208205,FS,10,0.0374035000568255
QFT-Like,3,3,0.8134045834185355,PR,10,0.2920956000452861
QFT-Like,3,3,1.0,Full,10,0.2375918998732231
QFT-Like,3,4,16.091728807918045,FS+Pre+ttl+SE+ema,10,0.0164125000592321
QFT-Like,3,4,5.621215434587295,FS,10,0.0469837000709958
QFT-Like,3,4,0.8245605272987748,PR,10,0.3202984999516047
QFT-Like,3,4,1.0,Full,10,0.2641055000131018
QFT-Like,11,3,13.176833773845445,FS+Pre+ttl+SE+ema,10,0.0548090999945998
QFT-Like,11,3,6.411384434605924,FS,10,0.1126450000447221
QFT-Like,11,3,0.6017782615640932,PR,10,1.200127100048121
QFT-Like,11,3,1.0,Full,10,0.7222103999229148
QFT-Like,11,4,12.094388565514908,FS+Pre+ttl+SE+ema,10,0.0580208000028505
QFT-Like,11,4,5.683764578702648,FS,10,0.1234614999266341
QFT-Like,11,4,0.47074922624195326,PR,10,1.4906580000533722
QFT-Like,11,4,1.0,Full,10,0.7017261001165025
QFT-Like,17,3,5.523317459416977,FS+Pre+ttl+SE+ema,10,0.3137412999640219
QFT-Like,17,3,3.564593273555084,FS,10,0.4861403999966569
QFT-Like,17,3,0.5883179044955371,PR,10,2.945504100061953
QFT-Like,17,3,1.0,Full,10,1.7328927998314612
QFT-Like,17,4,6.935791702313105,FS+Pre+ttl+SE+ema,10,0.2593886000686325
QFT-Like,17,4,4.318471513692801,FS,10,0.4165976999793201
QFT-Like,17,4,0.5024726117860477,PR,10,3.580424599931576
QFT-Like,17,4,1.0,Full,10,1.7990653000306338
QFT-Like,23,3,1.2225677472408836,FS+Pre+ttl+SE+ema,10,14.95723859994905
QFT-Like,23,3,1.1665443892766645,FS,10,15.675560800067617
QFT-Like,23,3,0.8693759821900885,PR,10,21.033750500006136
QFT-Like,23,3,1.0,Full,10,18.2862375000841
QFT-Like,23,4,1.147915226755311,FS+Pre+ttl+SE+ema,10,19.74242519994732
QFT-Like,23,4,1.1440941493413943,FS,10,19.80836149991956
QFT-Like,23,4,0.8584185657144915,PR,10,26.400443099963013
QFT-Like,23,4,1.0,Full,10,22.662630500097293
QAOA-3reg,3,3,15.459032785395658,FS+Pre+ttl+SE+ema,10,0.0161994998925365
QAOA-3reg,3,3,6.410643931142294,FS,10,0.0390645000152289
QAOA-3reg,3,3,4.9394785709806595,PR,10,0.0506994000170379
QAOA-3reg,3,3,1.0,Full,10,0.2504285999457352
QAOA-3reg,3,4,18.75872902917737,FS+Pre+ttl+SE+ema,10,0.0175105999805964
QAOA-3reg,3,4,7.416596302433696,FS,10,0.0442893999861553
QAOA-3reg,3,4,5.949595997405847,PR,10,0.0552099000196903
QAOA-3reg,3,4,1.0,Full,10,0.3284766001743264
QAOA-3reg,11,3,6.931903636059444,FS+Pre+ttl+SE+ema,10,0.0518207001732662
QAOA-3reg,11,3,4.015041199299592,FS,10,0.0894675999879837
QAOA-3reg,11,3,2.885017295282626,PR,10,0.1245109000010415
QAOA-3reg,11,3,1.0,Full,10,0.3592160999542102
QAOA-3reg,11,4,6.707819500893989,FS+Pre+ttl+SE+ema,10,0.0622711001196876
QAOA-3reg,11,4,2.078297509260996,FS,10,0.2009834000491537
QAOA-3reg,11,4,2.912683633149947,PR,10,0.1434084000647999
QAOA-3reg,11,4,1.0,Full,10,0.4177032997249625
QAOA-3reg,17,3,6.253100403251372,FS+Pre+ttl+SE+ema,10,0.1440697000944055
QAOA-3reg,17,3,3.955379159396681,FS,10,0.2277613001060672
QAOA-3reg,17,3,3.1035979202674318,PR,10,0.29027030011639
QAOA-3reg,17,3,1.0,Full,10,0.9008822997566313
QAOA-3reg,17,4,6.268539645296463,FS+Pre+ttl+SE+ema,10,0.1662450999720022
QAOA-3reg,17,4,3.822208269670096,FS,10,0.2726470999186858
QAOA-3reg,17,4,2.072188172774458,PR,10,0.5029050998855382
QAOA-3reg,17,4,1.0,Full,10,1.0421140000107698
QAOA-3reg,23,3,1.1986527461268193,FS+Pre+ttl+SE+ema,10,4.208412500156555
QAOA-3reg,23,3,1.1544736581010488,FS,10,4.369458899949677
QAOA-3reg,23,3,1.081651894875982,PR,10,4.663630900147837
QAOA-3reg,23,3,1.0,Full,10,5.044425200147089
QAOA-3reg,23,4,1.1730384686354234,FS+Pre+ttl+SE+ema,10,5.729909699992277
QAOA-3reg,23,4,1.1855198096170398,FS,10,5.669584299961571
QAOA-3reg,23,4,1.1464415264361871,PR,10,5.862841099966317
QAOA-3reg,23,4,1.0,Full,10,6.721404499898199
RCA,3,3,15.902013939291374,FS+Pre+ttl+SE+ema,10,0.0136508998693898
RCA,3,3,5.5132716194493385,FS,10,0.0393734999815933
RCA,3,3,0.8795004260949459,PR,10,0.2468182999873533
RCA,3,3,1.0,Full,10,0.2170768000069074
RCA,3,4,19.925181548080534,FS+Pre+ttl+SE+ema,10,0.0115052000619471
RCA,3,4,6.550236165912647,FS,10,0.0349976999568752
RCA,3,4,0.8529877966877374,PR,10,0.2687532000709325
RCA,3,4,1.0,Full,10,0.2292431999812834
RCA,11,3,12.376253308383498,FS+Pre+ttl+SE+ema,10,0.0207859998918138
RCA,11,3,5.481172451131747,FS,10,0.04693390004104
RCA,11,3,0.753614527004577,PR,10,0.3413586000679061
RCA,11,3,1.0,Full,10,0.2572527999291196
RCA,11,4,11.050823788590403,FS+Pre+ttl+SE+ema,10,0.0234339000307954
RCA,11,4,5.064823133427734,FS,10,0.051129899919033
RCA,11,4,0.687523479129825,PR,10,0.3766618999652564
RCA,11,4,1.0,Full,10,0.2589638999197632
RCA,17,3,9.853119414625008,FS+Pre+ttl+SE+ema,10,0.0580955001059919
RCA,17,3,5.362863872345934,FS,10,0.1067380999447777
RCA,17,3,0.6766150729751815,PR,10,0.846008200023789
RCA,17,3,1.0,Full,10,0.5724218999966979
RCA,17,4,8.352017639010795,FS+Pre+ttl+SE+ema,10,0.0720123000210151
RCA,17,4,4.8152744230365725,FS,10,0.1249042000854387
RCA,17,4,0.6273447930619371,PR,10,0.9587199999950826
RCA,17,4,1.0,Full,10,0.6014480000012554
RCA,23,3,1.3759388984337269,FS+Pre+ttl+SE+ema,10,1.7763101998716593
RCA,23,3,1.2828348567919763,FS,10,1.9052291000261905
RCA,23,3,0.8213221451629358,PR,10,2.97580469987588
RCA,23,3,1.0,Full,10,2.444094299688004
RCA,23,4,1.3621352755556695,FS+Pre+ttl+SE+ema,10,2.3215644999872893
RCA,23,4,1.3072193427152567,FS,10,2.419092799944337
RCA,23,4,0.9508449339023101,PR,10,3.325763000000734
RCA,23,4,1.0,Full,10,3.1622848999104463
VQE-Full,3,3,17.122015808121567,FS+Pre+ttl+SE+ema,10,0.0134457999956794
VQE-Full,3,3,6.210910565013587,FS,10,0.0370668998803012
VQE-Full,3,3,0.8358522392762352,PR,10,0.2754304998670704
VQE-Full,3,3,1.0,Full,10,0.2302192000788636
VQE-Full,3,4,21.841952180089876,FS+Pre+ttl+SE+ema,10,0.0139654000522568
VQE-Full,3,4,7.002899609573209,FS,10,0.0435578998876735
VQE-Full,3,4,0.9718223032135659,PR,10,0.3138759000576101
VQE-Full,3,4,1.0,Full,10,0.3050316001172177
VQE-Full,11,3,10.19093280048876,FS+Pre+ttl+SE+ema,10,0.0268330000108107
VQE-Full,11,3,4.7933897722083305,FS,10,0.057048000046052
VQE-Full,11,3,0.702005974741151,PR,10,0.3895312999957241
VQE-Full,11,3,1.0,Full,10,0.273453299945686
VQE-Full,11,4,8.631015844051603,FS+Pre+ttl+SE+ema,10,0.0325369000784121
VQE-Full,11,4,4.686807923383979,FS,10,0.0599184999009594
