Circuit,Qubits,FS+Pre+ttl+SE+ema,FS,PR,Full
GHZ-Chain,3,17.04132331434777,6.965745072347894,5.618440006117604,1.0
GHZ-Chain,11,14.18029700454827,6.399964576223835,3.874166371047381,1.0
GHZ-Chain,17,12.192406921948514,5.481491810276122,4.5753276627148125,1.0
GHZ-Chain,23,1.6266169218924222,1.4191653480554953,1.1906966147893427,1.0
LinearEnt,3,19.875967009441617,6.365452521164519,5.604143313751138,1.0
LinearEnt,11,10.732695006604702,5.147383998789293,3.941407658969995,1.0
LinearEnt,17,9.796789516745752,5.649216830186148,3.7857123773202708,1.0
LinearEnt,23,1.395611434323367,1.3044818771658009,1.3099867919866237,1.0
QAOA-3reg,3,17.108880907286515,6.913620116787995,5.444537284193253,1.0
QAOA-3reg,11,6.819861568476717,3.046669354280294,2.8988504642162862,1.0
QAOA-3reg,17,6.260820024273917,3.8887937145333886,2.5878930465209447,1.0
QAOA-3reg,23,1.1858456073811214,1.1699967338590445,1.1140467106560845,1.0
QFT-Like,3,16.756777609241198,5.986672784897751,0.8189825553586552,1.0
QFT-Like,11,12.635611169680177,6.047574506654286,0.5362637439030232,1.0
QFT-Like,17,6.229554580865041,3.9415323936239424,0.5453952581407924,1.0
QFT-Like,23,1.1852414869980974,1.1553192693090293,0.86389727395229,1.0
QSIM-XXZ,3,16.076335381561904,6.418697833234511,4.7865087072465,1.0
QSIM-XXZ,11,7.153151817394841,4.196096948473128,2.953345271215645,1.0
QSIM-XXZ,17,7.8304135068135015,4.514261369744987,2.515553131397436,1.0
QSIM-XXZ,23,1.6631405694061856,1.429433339704739,1.4158310391201252,1.0
RCA,3,17.913597743685955,6.031753892680992,0.8662441113913417,1.0
RCA,11,11.713538548486952,5.272997792279741,0.720569003067201,1.0
RCA,17,9.102568526817901,5.089069147691253,0.6519799330185594,1.0
RCA,23,1.3690370869946982,1.2950270997536166,0.886083539532623,1.0
VQE-Full,3,19.481983994105722,6.6069050872933985,0.9038372712449005,1.0
VQE-Full,11,9.410974322270182,4.740098847796155,0.6787659270839079,1.0
VQE-Full,17,8.366605716560677,3.6315737033902025,0.7661785272349363,1.0
VQE-Full,23,1.213120658955952,1.1857860490658891,0.8657195927448151,1.0
