circuit,q,d,e2e_latency,method,N,final_cache_size,final_hitrate
GHZ-Chain,3,3,0.013533999968785793,FS+Pre+ttl+SE+ema,10,1,1.0
GHZ-Chain,3,3,0.032550000003539026,FS,10,1,0.9
GHZ-Chain,3,3,0.037867299921344966,PR,10,1,0.9
GHZ-Chain,3,3,0.24482270004227757,Full,10,0,0.0
GHZ-Chain,3,4,0.01380399998743087,FS+Pre+ttl+SE+ema,10,1,1.0
GHZ-Chain,3,4,0.03444119985215366,FS,10,1,0.9
GHZ-Chain,3,4,0.04626750008901581,PR,10,1,0.9
GHZ-Chain,3,4,0.2207700000726618,Full,10,0,0.0
GHZ-Chain,11,3,0.017325000080745667,FS+Pre+ttl+SE+ema,10,1,1.0
GHZ-Chain,11,3,0.03891979996114969,FS,10,1,0.9
GHZ-Chain,11,3,0.04914950003148988,PR,10,1,0.9
GHZ-Chain,11,3,0.2591128998901695,Full,10,0,0.0
GHZ-Chain,11,4,0.01781960006337613,FS+Pre+ttl+SE+ema,10,1,1.0
GHZ-Chain,11,4,0.03888830007053912,FS,10,1,0.9
GHZ-Chain,11,4,0.09645629994338378,PR,10,1,0.9
GHZ-Chain,11,4,0.2388642998994328,Full,10,0,0.0
GHZ-Chain,17,3,0.04176390008069575,FS+Pre+ttl+SE+ema,10,1,1.0
GHZ-Chain,17,3,0.09767480008304119,FS,10,1,0.9
GHZ-Chain,17,3,0.10875700006727129,PR,10,1,0.9
GHZ-Chain,17,3,0.5104449999635108,Full,10,0,0.0
GHZ-Chain,17,4,0.04191189992707223,FS+Pre+ttl+SE+ema,10,1,1.0
GHZ-Chain,17,4,0.08885450003435835,FS,10,1,0.9
GHZ-Chain,17,4,0.11436750000575557,PR,10,1,0.9
GHZ-Chain,17,4,0.50976000004448,Full,10,0,0.0
GHZ-Chain,23,3,0.7766369000310078,FS+Pre+ttl+SE+ema,10,1,1.0
GHZ-Chain,23,3,0.9633232000633143,FS,10,1,0.9
GHZ-Chain,23,3,1.3219743998488411,PR,10,1,0.9
GHZ-Chain,23,3,1.2937482998822816,Full,10,0,0.0
GHZ-Chain,23,4,0.8297075001173653,FS+Pre+ttl+SE+ema,10,1,1.0
GHZ-Chain,23,4,0.8807966000167653,FS,10,1,0.9
GHZ-Chain,23,4,0.9389288001111709,PR,10,1,0.9
GHZ-Chain,23,4,1.3170773999299854,Full,10,0,0.0
LinearEnt,3,3,0.012943200068548322,FS+Pre+ttl+SE+ema,10,1,1.0
LinearEnt,3,3,0.03897439985303208,FS,10,1,0.9
LinearEnt,3,3,0.04460970009677112,PR,10,1,0.9
LinearEnt,3,3,0.25653040007455274,Full,10,0,0.0
LinearEnt,3,4,0.013083900092169642,FS+Pre+ttl+SE+ema,10,1,1.0
LinearEnt,3,4,0.04241280001588166,FS,10,1,0.9
LinearEnt,3,4,0.04778380005154759,PR,10,1,0.9
LinearEnt,3,4,0.26079130021389574,Full,10,0,0.0
