Circuit,Qubits,Depth,Speedup_vs_Full,Method,N,E2E_Latency_s
GHZ-Chain,3,1,16.560389546608267,FS+Pre+ttl+SE+ema,10,0.0140073999646119
GHZ-Chain,3,1,5.672463005983731,FS,10,0.0408936999156139
GHZ-Chain,3,1,0.7423170781090968,PR,10,0.3124918000539765
GHZ-Chain,3,1,1.0,Full,10,0.2319679999491199
GHZ-Chain,3,2,5.166642093178306,FS+Pre+ttl+SE+ema,10,0.0433881999342702
GHZ-Chain,3,2,3.8201944091792024,FS,10,0.0586806000210344
GHZ-Chain,3,2,4.951818508939125,PR,10,0.0452705000643618
GHZ-Chain,3,2,1.0,Full,10,0.2241713001276366
GHZ-Chain,11,1,14.57856732169165,FS+Pre+ttl+SE+ema,10,0.0154408999951556
GHZ-Chain,11,1,5.923769416633048,FS,10,0.0380005000624805
GHZ-Chain,11,1,0.5220168638269697,PR,10,0.4312239999999292
GHZ-Chain,11,1,1.0,Full,10,0.2251062000868842
GHZ-Chain,11,2,8.981944962721627,FS+Pre+ttl+SE+ema,10,0.0258709000190719
GHZ-Chain,11,2,5.878152266177888,FS,10,0.0395312999025918
GHZ-Chain,11,2,3.7056687522023877,PR,10,0.0627069000620395
GHZ-Chain,11,2,1.0,Full,10,0.2323710001073777
GHZ-Chain,17,1,10.671779718992603,FS+Pre+ttl+SE+ema,10,0.0489923999411985
GHZ-Chain,17,1,4.664244009688379,FS,10,0.1120944999856874
GHZ-Chain,17,1,0.4857300181970242,PR,10,1.0763924000784757
GHZ-Chain,17,1,1.0,Full,10,0.5228361000772566
GHZ-Chain,17,2,14.774780475182295,FS+Pre+ttl+SE+ema,10,0.0400032001198269
GHZ-Chain,17,2,6.496292080721983,FS,10,0.0909808999858796
GHZ-Chain,17,2,3.8145051470645877,PR,10,0.1549450000165961
GHZ-Chain,17,2,1.0,Full,10,0.5910385000752285
GHZ-Chain,23,1,1.5643999069105274,FS+Pre+ttl+SE+ema,10,0.8269484000047669
GHZ-Chain,23,1,1.4261258751813721,FS,10,0.9071275001042522
GHZ-Chain,23,1,0.5874929314911029,PR,10,2.202031600114424
GHZ-Chain,23,1,1.0,Full,10,1.293677999987267
GHZ-Chain,23,2,1.708070039767639,FS+Pre+ttl+SE+ema,10,0.8045214001322165
GHZ-Chain,23,2,1.5680535059072693,FS,10,0.8763596999342553
GHZ-Chain,23,2,1.3927863869050672,PR,10,0.986640099901706
GHZ-Chain,23,2,1.0,Full,10,1.3741788999177516
LinearEnt,3,1,21.162065929445358,FS+Pre+ttl+SE+ema,10,0.0118420999497175
LinearEnt,3,1,6.6744427604028145,FS,10,0.0375466999830678
LinearEnt,3,1,5.520249083414401,PR,10,0.0453971000388264
LinearEnt,3,1,1.0,Full,10,0.2506032998790033
LinearEnt,3,2,18.22610359632625,FS+Pre+ttl+SE+ema,10,0.0133115999633446
LinearEnt,3,2,6.551557838636428,FS,10,0.0370321999653242
LinearEnt,3,2,4.933317887938607,PR,10,0.0491795999114401
LinearEnt,3,2,1.0,Full,10,0.2426185999647714
LinearEnt,11,1,10.601031451571094,FS+Pre+ttl+SE+ema,10,0.0243354999111033
LinearEnt,11,1,5.137383129268871,FS,10,0.0502165000070817
LinearEnt,11,1,3.5131726224428514,PR,10,0.0734326000092551
LinearEnt,11,1,1.0,Full,10,0.2579813999473117
LinearEnt,11,2,13.626682017952776,FS+Pre+ttl+SE+ema,10,0.0250888000009581
LinearEnt,11,2,6.141412855097961,FS,10,0.0556674999534152
LinearEnt,11,2,3.293172686097371,PR,10,0.1038138999720104
LinearEnt,11,2,1.0,Full,10,0.3418770998250693
LinearEnt,17,1,10.691961782254657,FS+Pre+ttl+SE+ema,10,0.0573259998927824
LinearEnt,17,1,5.736088106827129,FS,10,0.1068545999587513
LinearEnt,17,1,3.573058162591525,PR,10,0.1715414001373574
LinearEnt,17,1,1.0,Full,10,0.6129273999831639
LinearEnt,17,2,11.793043925839342,FS+Pre+ttl+SE+ema,10,0.0706609002081677
LinearEnt,17,2,6.244629570039675,FS,10,0.1334438000922091
LinearEnt,17,2,3.5794778644901326,PR,10,0.2328012999496422
LinearEnt,17,2,1.0,Full,10,0.833307099994272
LinearEnt,23,1,2.1189195995868397,FS+Pre+ttl+SE+ema,10,0.8680040999897756
LinearEnt,23,1,1.9996945923904137,FS,10,0.9197559002204798
LinearEnt,23,1,1.8226919754847097,PR,10,1.0090738998842426
LinearEnt,23,1,1.0,Full,10,1.8392308999900704
LinearEnt,23,2,1.5381565737767422,FS+Pre+ttl+SE+ema,10,1.5032756999135015
LinearEnt,23,2,1.4451050324077765,FS,10,1.6000729000079446
LinearEnt,23,2,1.4194963557430804,PR,10,1.6289392999606207
LinearEnt,23,2,1.0,Full,10,2.3122734000207856
