Circuit,Qubits,FS+Pre+ttl+SE+ema,FS,PR,Full
GHZ-Chain,3,0.02869779994944105,0.04978714996832415,0.17888115005916913,0.22806965003837826
GHZ-Chain,11,0.02065590000711375,0.03876589998253615,0.24696545003098436,0.22873860009713096
GHZ-Chain,17,0.0444978000305127,0.1015376999857835,0.6156687000475359,0.5569373000762425
GHZ-Chain,23,0.8157349000684917,0.8917436000192538,1.5943358500080649,1.3339284499525093
LinearEnt,3,0.01257684995653105,0.037289449974196,0.04728834997513325,0.24661094992188737
LinearEnt,11,0.024712149956030702,0.052941999980248455,0.08862324999063276,0.2999292498861905
LinearEnt,17,0.06399345005047505,0.1201492000254802,0.2021713500434998,0.723117249988718
LinearEnt,23,1.1856398999516387,1.2599144001142122,1.3190065999224316,2.075752150005428
QAOA-3reg,3,0.01371175001258955,0.04078969990951005,0.0635474500304553,0.2535356000589672
QAOA-3reg,11,0.03534524998394765,0.06930719999945714,0.15892390001681628,0.31875464989570895
QAOA-3reg,17,0.09696759996586475,0.17164390001562418,0.3206097499933094,0.752978299948154
QAOA-3reg,23,2.2888776000763755,2.3799586999812163,2.625460900046164,3.0223261000937782
QFT-Like,3,0.01240964993485245,0.0363001500663813,0.3294217500369996,0.23876885001664044
QFT-Like,11,0.03757430004770865,0.08582854998530814,1.691616700059967,0.49915664992295206
QFT-Like,17,0.1739255000429693,0.25695630002883263,4.213271999993594,1.3721627001068555
QFT-Like,23,6.917922450142214,7.1468853999977,14.045362450066023,8.79284810012905
QSIM-XXZ,3,0.0137919999833684,0.0380168999836314,0.0725722499482799,0.24071230014669703
QSIM-XXZ,11,0.03267934999894345,0.059773899964056854,0.1835606500681024,0.30117574997711927
QSIM-XXZ,17,0.06641464991844255,0.1362207999627571,0.3537358497851528,0.6901367499958724
QSIM-XXZ,23,0.8133302000642288,0.8942823498800863,1.2681312499917112,1.5334301499824503
RCA,3,0.01053799997316665,0.032375849958043504,0.28672200004803017,0.22230445005698124
RCA,11,0.01779305003583425,0.04305055001168505,0.5243384999339469,0.2455354000558145
RCA,17,0.046957400074461406,0.09646384991356165,1.2068858000566252,0.5515225000272039
RCA,23,1.0946774500480387,1.1534978999989107,2.4251076999644283,1.6392808999517001
VQE-Full,3,0.0112322000204585,0.0359783000312745,0.34675829997286195,0.2385079000086989
VQE-Full,11,0.020563950005453052,0.04511345006176265,0.5884556499659084,0.2725009500281885
VQE-Full,17,0.05632840003818271,0.1110412499692756,1.3194744500215165,0.586606600030791
VQE-Full,23,1.4685382999887224,1.51076589996228,2.7796015499625355,1.96127555007115
