Circuit,Qubits,FS+Pre+ttl+SE+ema,FS,PR,Full
GHZ-Chain,3,10.863515819893287,4.746328707581467,2.847067793524111,1.0
GHZ-Chain,11,11.780256142206639,5.9009608414054675,2.1138428080146787,1.0
GHZ-Chain,17,12.72328009708745,5.580268045205181,2.150117582630806,1.0
GHZ-Chain,23,1.636234973339083,1.4970896905443207,0.9901396591980851,1.0
LinearEnt,3,19.694084762885804,6.613000299519621,5.2267834856765045,1.0
LinearEnt,11,12.113856734761935,5.639397992183416,3.4031726542701115,1.0
LinearEnt,17,11.242502854047,5.9903588384334014,3.5762680135408287,1.0
LinearEnt,23,1.828538086681791,1.7223998123990951,1.621094165613895,1.0
QAOA-3reg,3,18.586364780289745,6.213335222606339,4.030190713641325,1.0
QAOA-3reg,11,9.132877386199251,4.649107768867694,2.0868399531652546,1.0
QAOA-3reg,17,7.926432282666523,4.447108532706299,2.4137492152312214,1.0
QAOA-3reg,23,1.3433400719310415,1.2889329937975007,1.1740254749128671,1.0
QFT-Like,3,19.254936175250343,6.576960869380953,0.7271271817809475,1.0
QFT-Like,11,13.346965870937918,5.792818185986035,0.30937036904237736,1.0
QFT-Like,17,7.9866870230017035,5.346603384742014,0.33569068484238584,1.0
QFT-Like,23,1.2889963361798649,1.2441657138319377,0.626268290782703,1.0
QSIM-XXZ,3,17.62266898306458,6.399302463911428,3.4120400842125287,1.0
QSIM-XXZ,11,9.286128480038514,5.098860053146799,1.727091039562707,1.0
QSIM-XXZ,17,10.761209208637247,5.13494139067746,2.019557702580043,1.0
QSIM-XXZ,23,1.9181324200742622,1.7386439775629525,1.206434243397079,1.0
RCA,3,21.095727633955313,6.902501935992232,0.7795801016739412,1.0
RCA,11,14.012967634680201,5.709199928391703,0.48272208407607997,1.0
RCA,17,11.987876814922188,5.7614655121092415,0.46249318119289184,1.0
RCA,23,1.5346131622872248,1.4510044182463053,0.6789332497268712,1.0
VQE-Full,3,21.39971154981444,6.63078797973444,0.6903684804027063,1.0
VQE-Full,11,13.436181696381006,6.0405279789149,0.47329710442892803,1.0
VQE-Full,17,10.663063472110723,5.309221327423707,0.4492587018572249,1.0
VQE-Full,23,1.387701826684994,1.3391800031680048,0.701501362194867,1.0
