method,method_disp,method_order,kind,circuit_label,circuit_idx,start,dur,end,offset,bar
FullCompilation,FullComp,0,run,QAOA-3reg_q13_d4,0,0.0,0.05116439999983413,0.05116439999983413,0.0,0.05116439999983413
FullCompilation,FullComp,0,run,QSIM-XXZ_q5_d2,1,0.05116439999983413,0.025546300003043143,0.07671070000287727,0.05116439999983413,0.025546300003043143
FullCompilation,FullComp,0,run,QSIM-XXZ_q5_d8,2,0.07671070000287727,0.03564369999730843,0.1123544000001857,0.07671070000287727,0.03564369999730843
FullCompilation,FullComp,0,run,GHZ-Chain_q5_d8,3,0.1123544000001857,0.022740199998224853,0.13509459999841056,0.1123544000001857,0.022740199998224853
FullCompilation,FullComp,0,run,QSIM-XXZ_q5_d6,4,0.13509459999841056,0.03363059999901452,0.16872519999742508,0.13509459999841056,0.03363059999901452
FullCompilation,FullComp,0,run,QAOA-3reg_q15_d2,5,0.16872519999742508,0.0378091000020504,0.20653429999947548,0.16872519999742508,0.0378091000020504
FullCompilation,FullComp,0,run,QAOA-3reg_q15_d6,6,0.20653429999947548,0.15020889999868814,0.3567431999981636,0.20653429999947548,0.15020889999868814
FullCompilation,FullComp,0,run,QSIM-XXZ_q7_d2,7,0.3567431999981636,0.05473779999738326,0.4114809999955469,0.3567431999981636,0.05473779999738326
FullCompilation,FullComp,0,run,QAOA-3reg_q15_d2,5,0.4114809999955469,0.05461700000159908,0.46609799999714596,0.4114809999955469,0.05461700000159908
FullCompilation,FullComp,0,run,QSIM-XXZ_q15_d4,8,0.46609799999714596,0.08735950000118464,0.5534574999983306,0.46609799999714596,0.08735950000118464
FullCompilation,FullComp,0,run,LinearEnt_q11_d6,9,0.5534574999983306,0.0786435000009078,0.6321009999992384,0.5534574999983306,0.0786435000009078
FullCompilation,FullComp,0,run,QAOA-3reg_q7_d2,10,0.6321009999992384,0.03727360000266344,0.6693746000019019,0.6321009999992384,0.03727360000266344
FullCompilation,FullComp,0,run,QAOA-3reg_q15_d2,5,0.6693746000019019,0.039498800000728806,0.7088734000026307,0.6693746000019019,0.039498800000728806
FullCompilation,FullComp,0,run,VQE-Full_q5_d8,11,0.7088734000026307,0.05314849999922444,0.7620219000018551,0.7088734000026307,0.05314849999922444
FullCompilation,FullComp,0,run,VQE-Full_q13_d6,12,0.7620219000018551,0.05400310000186437,0.8160250000037195,0.7620219000018551,0.05400310000186437
FullCompilation,FullComp,0,run,RCA_q13_d2,13,0.8160250000037195,0.027699800000846153,0.8437248000045656,0.8160250000037195,0.027699800000846153
FullCompilation,FullComp,0,run,QAOA-3reg_q15_d6,6,0.8437248000045656,0.0593287000010605,0.9030535000056261,0.8437248000045656,0.0593287000010605
FullCompilation,FullComp,0,run,QSIM-XXZ_q5_d8,2,0.9030535000056261,0.0679803000020911,0.9710338000077172,0.9030535000056261,0.0679803000020911
FullCompilation,FullComp,0,run,GHZ-Chain_q15_d2,14,0.9710338000077172,0.04163559999506106,1.0126694000027783,0.9710338000077172,0.04163559999506106
