label,index,transT,loadT,bindT,execT
GHZ_q13_d4,1,0.02248980011790991,2.998858690261841e-07,0,0.0023340999614447355
QFT_q5_d2,2,0.023057500133290887,3.0011869966983795e-07,0,0.0016077999025583267
QFT_q5_d8,3,0.0,4.998873919248581e-07,0,0.003110199933871627
Bell_q5_d6,4,0.018781899940222502,2.998858690261841e-07,0,0.0012001001741737127
QSIM_q5_d6,5,0.0,5.00120222568512e-07,0,0.003423500107601285
QSIM_q13_d8,6,0.047688799910247326,8.00006091594696e-07,0,0.022080800030380487
QSIM_q15_d6,7,0.0,5.00120222568512e-07,0,0.012113899923861027
QFT_q7_d2,8,0.06132519990205765,6.998889148235321e-07,0,0.003727199975401163
LinearEnt_q15_d2,9,0.03547509992495179,6.00004568696022e-07,0,0.005653900094330311
QFT_q15_d6,10,0.1461772001348436,6.00004568696022e-07,0,0.021245199954137206
QSIM_q11_d4,11,0.03162599983625114,4.998873919248581e-07,0,0.006334200035780668
QSIM_q5_d8,12,0.02963060000911355,4.00003045797348e-07,0,0.004161700140684843
QAOA_q15_d2,13,0.030335799790918827,4.00003045797348e-07,0,0.007349500199779868
QFT_q5_d8,14,0.0,1.100124791264534e-06,0,0.005409700097516179
QFT_q13_d6,15,0.10649939998984337,4.998873919248581e-07,0,0.014188600005581975
GHZ_q13_d2,16,0.0,6.998889148235321e-07,0,0.002372200135141611
QSIM_q15_d6,17,0.0,5.00120222568512e-07,0,0.011444499948993325
QAOA_q5_d8,18,0.06016619992442429,7.00121745467186e-07,0,0.007730500074103475
VQE_q13_d8,19,0.04136200016364455,8.00006091594696e-07,0,0.0074564998503774405
GHZ_q11_d6,20,0.022453000070527196,3.0011869966983795e-07,0,0.0020790998823940754
QAOA_q5_d8,21,0.0,9.0012326836586e-07,0,0.005378300091251731
QSIM_q5_d6,22,0.0,5.00120222568512e-07,0,0.0032234000973403454
LinearEnt_q11_d4,23,0.032888400135561824,2.00001522898674e-07,0,0.0035390998236835003
Bell_q11_d6,24,0.0,6.998889148235321e-07,0,0.001098899869248271
Bell_q5_d6,25,0.0,4.00003045797348e-07,0,0.0009922001045197248
GHZ_q5_d2,26,0.02420540014281869,8.00006091594696e-07,0,0.0014053001068532467
RCA_q11_d2,27,0.02088749990798533,4.00003045797348e-07,0,0.0019384999759495258
Bell_q13_d4,28,0.0,4.00003045797348e-07,0,0.0009536000434309244
QSIM_q15_d6,29,0.0,8.00006091594696e-07,0,0.011882600141689181
GHZ_q13_d2,30,0.0,6.998889148235321e-07,0,0.0032058001961559057
QSIM_q15_d6,31,0.0,6.00004568696022e-07,0,0.011806400027126074
QSIM_q15_d4,32,0.06989839999005198,7.00121745467186e-07,0,0.013826100155711174
QFT_q5_d8,33,0.0,1.400010660290718e-06,0,0.005321200005710125
Bell_q15_d4,34,0.0,6.998889148235321e-07,0,0.0016109999269247055
Bell_q13_d4,35,0.0,6.998889148235321e-07,0,0.0016844000201672316
QFT_q7_d2,36,0.0,1.200009137392044e-06,0,0.002234600018709898
VQE_q13_d8,37,0.0,4.00003045797348e-07,0,0.007160399807617068
QSIM_q15_d4,38,0.0,1.200009137392044e-06,0,0.008376799989491701
RCA_q7_d2,39,0.041878300020471215,6.00004568696022e-07,0,0.0026680000592023134
GHZ_q11_d6,40,0.0,7.997732609510422e-07,0,0.0030227000825107098
LinearEnt_q5_d4,41,0.024315200047567487,6.00004568696022e-07,0,0.0018937999848276377
Bell_q11_d6,42,0.0,4.00003045797348e-07,0,0.0009286999702453613
QAOA_q5_d8,43,0.0,4.00003045797348e-07,0,0.00407760008238256
RCA_q13_d6,44,0.02470549987629056,3.0011869966983795e-07,0,0.004881799919530749
QSIM_q5_d6,45,0.0,4.00003045797348e-07,0,0.0031126998364925385
VQE_q7_d2,46,0.025368500035256147,6.00004568696022e-07,0,0.0019350000657141209
GHZ_q5_d2,47,0.0,4.998873919248581e-07,0,0.0011968000326305628
LinearEnt_q5_d2,48,0.024392500054091215,2.998858690261841e-07,0,0.001613900065422058
LinearEnt_q11_d4,49,0.0,6.00004568696022e-07,0,0.003539599943906069
RCA_q11_d2,50,0.0,9.0012326836586e-07,0,0.00170219992287457
QSIM_q5_d4,51,0.025739199947565794,9.0012326836586e-07,0,0.0026100999675691128
GHZ_q7_d2,52,0.021232700208202004,2.998858690261841e-07,0,0.00145619991235435
GHZ_q5_d2,53,0.0,6.00004568696022e-07,0,0.001113200094550848
GHZ_q7_d6,54,0.022880399832502007,3.0011869966983795e-07,0,0.0016385000199079514
QSIM_q11_d6,55,0.07293440005742013,4.00003045797348e-07,0,0.008283300092443824
QSIM_q7_d8,56,0.03171520004980266,6.00004568696022e-07,0,0.005551799898967147
GHZ_q15_d4,57,0.021730400156229734,2.998858690261841e-07,0,0.0035413000732660294
GHZ_q13_d2,58,0.0,8.00006091594696e-07,0,0.003306299913674593
LinearEnt_q7_d2,59,0.04688260005787015,6.00004568696022e-07,0,0.00326710008084774
VQE_q13_d8,60,0.0,1.00000761449337e-06,0,0.01384399994276464
LinearEnt_q11_d4,61,0.0,6.00004568696022e-07,0,0.0035656997933983803
RCA_q13_d6,62,0.0,4.00003045797348e-07,0,0.004555099876597524
QSIM_q11_d6,63,0.0,5.00120222568512e-07,0,0.008229899918660522
QSIM_q7_d8,64,0.0,5.00120222568512e-07,0,0.00508800009265542
Bell_q7_d6,65,0.0,4.00003045797348e-07,0,0.0008650999516248703
LinearEnt_q5_d2,66,0.0,6.00004568696022e-07,0,0.0018582998309284449
RCA_q11_d2,67,0.0,5.00120222568512e-07,0,0.0018070999067276716
GHZ_q13_d2,68,0.0,4.00003045797348e-07,0,0.0018635999877005816
VQE_q15_d8,69,0.02858040016144514,4.00003045797348e-07,0,0.009339200099930167
QSIM_q7_d8,70,0.0,9.0012326836586e-07,0,0.011607500026002526
