index,size
1,1
2,1
3,1
4,1
5,2
6,3
7,4
8,4
9,5
10,5
11,6
12,7
13,8
14,8
15,8
16,9
17,9
18,10
19,10
20,11
21,11
22,11
23,12
24,12
25,12
26,13
27,13
28,13
29,13
30,13
31,13
32,14
33,14
34,14
35,14
36,14
37,14
38,14
39,14
40,14
41,15
42,15
43,15
44,15
45,15
46,15
47,15
48,16
49,16
50,16
51,17
52,18
53,18
54,19
55,20
56,21
57,22
58,22
59,23
60,23
61,23
62,23
63,23
64,23
65,23
66,23
67,23
68,23
69,23
70,23
71,23
72,23
73,23
74,23
75,23
76,23
77,23
78,23
79,23
80,23
81,23
82,24
83,24
84,24
85,24
86,25
87,25
88,25
89,25
90,26
91,26
92,26
93,27
94,27
95,28
96,28
97,28
98,28
99,28
100,28
101,28
102,28
103,29
104,29
105,30
106,31
107,31
108,31
109,31
110,31
111,31
112,31
113,31
114,31
115,31
116,31
117,32
118,32
119,32
120,32
121,32
122,32
123,33
124,33
125,33
126,33
127,33
128,33
129,33
130,33
131,33
132,33
133,33
134,33
135,33
136,33
137,33
138,34
139,34
140,34
141,34
142,34
143,34
144,34
145,34
146,35
147,35
148,35
149,35
150,35
