index,size
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,13
15,14
16,15
17,15
18,16
19,17
20,18
21,18
22,18
23,19
24,19
25,19
26,20
27,21
28,21
29,21
30,21
31,21
32,22
33,22
34,22
35,22
36,22
37,22
38,22
39,23
40,23
41,24
42,24
43,24
44,25
45,25
46,26
47,26
48,27
49,27
50,27
51,28
52,29
53,29
54,30
55,31
56,32
57,33
58,33
59,34
60,34
61,34
62,34
63,34
64,34
65,34
66,34
67,34
68,34
69,35
70,35
71,35
72,35
73,35
74,35
75,35
76,35
77,36
78,36
79,36
80,36
81,36
82,37
83,37
84,37
85,37
86,38
87,38
88,38
89,39
90,40
91,40
92,40
93,41
94,41
95,42
96,43
97,43
98,43
99,43
100,43
101,44
102,44
103,45
104,46
105,47
106,48
107,48
108,48
109,48
110,48
111,48
112,48
113,48
114,48
115,49
116,49
117,50
118,50
119,50
120,50
121,50
122,50
123,51
124,51
125,52
126,52
127,52
128,52
129,52
130,52
131,53
132,54
133,54
134,54
135,54
136,54
137,54
138,55
139,55
140,55
141,55
142,55
143,56
144,56
145,56
146,57
147,58
148,58
149,58
150,58
