size,method,peak_rss_mb,ru_maxrss_mb,peak_tracemalloc_mb,ok,err
50,TransCache,186.703125,,20.23350429534912,True,
50,FS,185.60546875,,20.008532524108887,True,
50,PR,239.75390625,,46.398338317871094,True,
100,TransCache,190.671875,,21.278532028198242,True,
100,FS,187.78515625,,20.5430269241333,True,
100,PR,241.61328125,,50.30910873413086,True,
150,TransCache,192.02734375,,21.839625358581543,True,
150,FS,188.234375,,21.14936065673828,True,
150,PR,245.72265625,,50.71127986907959,True,
200,TransCache,195.39453125,,26.378663063049316,True,
200,FS,192.578125,,21.510154724121094,True,
200,PR,252.31640625,,51.908841133117676,True,
300,TransCache,201.765625,,25.998805046081543,True,
300,FS,192.6171875,,21.826934814453125,True,
300,PR,254.96875,,52.26053047180176,True,
350,TransCache,200.9140625,,26.088194847106934,True,
350,FS,191.71875,,22.017136573791504,True,
350,PR,252.7890625,,52.856719970703125,True,
400,TransCache,201.4375,,25.74831199645996,True,
400,FS,193.7890625,,27.10026264190674,True,
400,PR,251.0625,,53.07370090484619,True,
450,TransCache,202.65234375,,26.617215156555176,True,
450,FS,195.0546875,,27.613451957702637,True,
450,PR,253.62890625,,53.264122009277344,True,
500,TransCache,208.26171875,,26.01778793334961,True,
500,FS,197.73828125,,27.30052947998047,True,
500,PR,256.3828125,,54.36081790924072,True,
