size,repeat,method,peak_rss_mb,ru_maxrss_mb,peak_tracemalloc_mb,ok,err
50,0,TransCache,189.30078125,,20.34906578063965,True,
50,0,FS,186.5,,19.95658779144287,True,
50,0,PR,241.609375,,46.36979579925537,True,
50,1,TransCache,188.83984375,,20.328055381774902,True,
50,1,FS,185.62109375,,19.955960273742676,True,
50,1,PR,240.4921875,,46.37621784210205,True,
50,2,TransCache,189.84375,,20.327401161193848,True,
50,2,FS,185.875,,20.002741813659668,True,
50,2,PR,242.6640625,,46.399901390075684,True,
50,3,TransCache,189.625,,20.329391479492188,True,
50,3,FS,186.484375,,19.95387363433838,True,
50,3,PR,241.43359375,,46.36880111694336,True,
50,4,TransCache,186.89453125,,20.32773494720459,True,
50,4,FS,186.578125,,20.005358695983887,True,
50,4,PR,242.55078125,,46.37124729156494,True,
100,0,TransCache,193.390625,,21.344002723693848,True,
100,0,FS,188.01953125,,20.54137897491455,True,
100,0,PR,244.01171875,,50.358299255371094,True,
100,1,TransCache,192.859375,,21.32682228088379,True,
100,1,FS,188.546875,,20.543014526367188,True,
100,1,PR,241.36328125,,50.354732513427734,True,
100,2,TransCache,193.4453125,,21.32938289642334,True,
100,2,FS,188.83984375,,20.543323516845703,True,
100,2,PR,242.74609375,,50.346839904785156,True,
100,3,TransCache,191.328125,,21.344099044799805,True,
100,3,FS,188.5546875,,20.541624069213867,True,
100,3,PR,244.78125,,50.36042785644531,True,
100,4,TransCache,192.140625,,21.343656539916992,True,
100,4,FS,187.96875,,20.542563438415527,True,
100,4,PR,243.51171875,,50.35515880584717,True,
150,0,TransCache,193.26953125,,21.968814849853516,True,
150,0,FS,190.39453125,,21.14938259124756,True,
150,0,PR,243.29296875,,50.71546459197998,True,
150,1,TransCache,192.91015625,,21.97017002105713,True,
150,1,FS,188.56640625,,21.14633846282959,True,
150,1,PR,243.75,,50.51488494873047,True,
150,2,TransCache,193.40234375,,21.97014045715332,True,
150,2,FS,188.70703125,,21.148096084594727,True,
150,2,PR,241.625,,50.50720405578613,True,
150,3,TransCache,193.3046875,,21.970988273620605,True,
150,3,FS,189.40625,,21.151214599609375,True,
150,3,PR,242.7421875,,50.496856689453125,True,
150,4,TransCache,193.30859375,,21.97003746032715,True,
150,4,FS,188.84765625,,21.149486541748047,True,
150,4,PR,243.94140625,,50.510019302368164,True,
