size,repeat,method,peak_rss_mb,ru_maxrss_mb,peak_tracemalloc_mb,ok,err
250,0,TransCache,198.765625,,26.165928840637207,True,
250,0,FS,194.25390625,,22.219905853271484,True,
250,0,PR,252.61328125,,52.26973915100098,True,
250,1,TransCache,196.68359375,,25.886131286621094,True,
250,1,FS,193.52734375,,22.222533226013184,True,
250,1,PR,251.51953125,,52.272531509399414,True,
250,2,TransCache,201.859375,,26.133034706115723,True,
250,2,FS,193.62890625,,22.221635818481445,True,
250,2,PR,250.0703125,,52.277122497558594,True,
250,3,TransCache,202.81640625,,26.143193244934082,True,
250,3,FS,193.91796875,,22.21799373626709,True,
250,3,PR,250.99609375,,52.51895332336426,True,
250,4,TransCache,198.484375,,26.16450595855713,True,
250,4,FS,194.5078125,,22.219402313232422,True,
250,4,PR,250.2734375,,52.48390769958496,True,
