size,repeat,method,peak_rss_mb,ru_maxrss_mb,peak_tracemalloc_mb,ok,err
250,0,FS,190.4765625,,21.415349006652832,True,
250,0,PR,244.3828125,,51.567389488220215,True,
250,0,TransCache,195.375,,22.57478427886963,True,
250,1,FS,192.62109375,,21.39324951171875,True,
250,1,PR,241.83984375,,51.57474231719971,True,
250,1,TransCache,196.76953125,,22.60075569152832,True,
250,2,FS,191.41015625,,21.418611526489258,True,
250,2,PR,241.66796875,,51.59048557281494,True,
250,2,TransCache,195.68359375,,22.598212242126465,True,
250,3,FS,192.171875,,21.38884735107422,True,
250,3,PR,242.52734375,,51.58125591278076,True,
250,3,TransCache,197.4609375,,22.599051475524902,True,
250,4,FS,192.56640625,,21.60242748260498,True,
250,4,PR,246.8515625,,51.509220123291016,True,
250,4,TransCache,203.41796875,,22.596450805664062,True,
550,0,FS,196.76953125,,27.093692779541016,True,
550,0,PR,253.71484375,,53.27776050567627,True,
550,0,TransCache,208.22265625,,26.038389205932617,True,
550,1,FS,195.9453125,,27.102005004882812,True,
550,1,PR,254.67578125,,53.27167987823486,True,
550,1,TransCache,212.6640625,,26.047507286071777,True,
550,2,FS,198.28125,,27.10264492034912,True,
550,2,PR,261.16015625,,53.51569080352783,True,
550,2,TransCache,207.921875,,26.012439727783203,True,
550,3,FS,198.1953125,,27.098957061767578,True,
550,3,PR,256.6171875,,53.434937477111816,True,
550,3,TransCache,209.828125,,25.99679660797119,True,
550,4,FS,196.79296875,,27.096940994262695,True,
550,4,PR,253.6875,,53.44610404968262,True,
550,4,TransCache,209.58203125,,26.043761253356934,True,
