size,method,e2e_latency,final_cache_size
50,FS+Pre,2.034199401270598,34
50,FS,2.1269030016846955,34
50,PR,2.514515198301524,21
100,FS+Pre,4.188332500867546,55
100,FS,4.126932899467647,55
100,PR,6.454308999702334,29
150,FS+Pre,3.9941986980848014,62
150,FS,3.930011799093336,62
150,PR,6.111356699373573,38
200,FS+Pre,4.582620003260672,75
200,FS,5.355864397715777,75
200,PR,11.08122729929164,42
300,FS+Pre,5.71651299810037,93
300,FS,6.69139490230009,93
300,PR,14.516309498343617,55
350,FS+Pre,5.978884398937225,91
350,FS,6.534544502850622,91
350,PR,20.42302690492943,49
400,FS+Pre,6.289662699680775,93
400,FS,9.102479100227356,93
400,PR,18.07403919659555,48
450,FS+Pre,5.428542399778962,94
450,FS,5.968026502523571,94
450,PR,15.583205096889287,51
500,FS+Pre,6.888362801168114,99
500,FS,6.474934699013829,99
500,PR,32.03099900204688,60
