Depth,N,Circuit,Qubits,Method,E2E_Latency_s,Speedup_vs_Full
4,10,GHZ-Chain,3,FS+Pre+ttl+SE+ema,0.0156644999806303,15.300852264462089
4,10,GHZ-Chain,3,FS,0.0396687999891582,6.04203303517626
4,10,GHZ-Chain,3,PR,0.0408066000672988,5.873564560757566
4,10,GHZ-Chain,3,Full,0.2396802000002935,1.0
4,10,GHZ-Chain,11,FS+Pre+ttl+SE+ema,0.0188695000542793,12.41800256106615
4,10,GHZ-Chain,11,FS,0.039612899912754,5.915282660854493
4,10,GHZ-Chain,11,PR,0.0481349999608937,4.86800665192579
4,10,GHZ-Chain,11,Full,0.2343215000000782,1.0
4,10,GHZ-Chain,17,FS+Pre+ttl+SE+ema,0.0427073000464588,13.34865934648131
4,10,GHZ-Chain,17,FS,0.0913008000352419,6.244032907795906
4,10,GHZ-Chain,17,PR,0.1126152999058831,5.062235774398203
4,10,GHZ-Chain,17,Full,0.570085199928144,1.0
4,10,GHZ-Chain,23,FS+Pre+ttl+SE+ema,0.8054450000054203,1.773156081463505
4,10,GHZ-Chain,23,FS,0.8983382999140304,1.589801637290382
4,10,GHZ-Chain,23,PR,0.943669200030854,1.5134325672569247
4,10,GHZ-Chain,23,Full,1.4281797000439838,1.0
4,10,LinearEnt,3,FS+Pre+ttl+SE+ema,0.0143408999720122,18.976716982266115
4,10,LinearEnt,3,FS,0.0401488999777939,6.778347605797026
4,10,LinearEnt,3,PR,0.0481484999472741,5.6521636258217605
4,10,LinearEnt,3,Full,0.2721432000398636,1.0
4,10,LinearEnt,11,FS+Pre+ttl+SE+ema,0.0373289000417571,9.271082181745966
4,10,LinearEnt,11,FS,0.0736137999920174,4.701282912698963
4,10,LinearEnt,11,PR,0.1311812999192625,2.6381755650714713
4,10,LinearEnt,11,Full,0.3460793000413105,1.0
4,10,LinearEnt,17,FS+Pre+ttl+SE+ema,0.1002423999307211,9.022859593753443
4,10,LinearEnt,17,FS,0.1830306999909225,4.941646947537404
4,10,LinearEnt,17,PR,0.2508861999958753,3.605112995177281
4,10,LinearEnt,17,Full,0.9044730999157764,1.0
4,10,LinearEnt,23,FS+Pre+ttl+SE+ema,2.75494669994805,1.367792778020594
4,10,LinearEnt,23,FS,2.9197450999636203,1.290590812214245
4,10,LinearEnt,23,PR,2.871128399972804,1.3124443337526475
4,10,LinearEnt,23,Full,3.7681962000206113,1.0
4,10,QFT-Like,3,FS+Pre+ttl+SE+ema,0.0150711000023875,15.71676254204802
4,10,QFT-Like,3,FS,0.0386188000265974,6.133512688686552
4,10,QFT-Like,3,PR,0.2904917999985628,0.8154064933542208
4,10,QFT-Like,3,Full,0.2368688999849837,1.0
4,10,QFT-Like,11,FS+Pre+ttl+SE+ema,0.0619608999695628,12.109125277108518
4,10,QFT-Like,11,FS,0.1310790000134147,5.72397027698594
4,10,QFT-Like,11,PR,1.370846400008304,0.5473204729642068
4,10,QFT-Like,11,Full,0.7502923000138253,1.0
4,10,QFT-Like,17,FS+Pre+ttl+SE+ema,0.2678651000314858,6.791252760509348
4,10,QFT-Like,17,FS,0.4800060000270605,3.789826793686716
4,10,QFT-Like,17,PR,3.6357224000093993,0.500351622012791
4,10,QFT-Like,17,Full,1.8191396000329405,1.0
4,10,QFT-Like,23,FS+Pre+ttl+SE+ema,20.610305499954848,1.3122873069524705
4,10,QFT-Like,23,FS,20.56806790002156,1.3149821573651597
4,10,QFT-Like,23,PR,30.11304149994976,0.898170392387915
4,10,QFT-Like,23,Full,27.04664230000344,1.0
4,10,QAOA-3reg,3,FS+Pre+ttl+SE+ema,0.0173784000508021,15.254315660156987
4,10,QAOA-3reg,3,FS,0.0472930000105407,5.605387689178922
4,10,QAOA-3reg,3,PR,0.06246000007377,4.244245913069572
4,10,QAOA-3reg,3,Full,0.2650956000434235,1.0
4,10,QAOA-3reg,11,FS+Pre+ttl+SE+ema,0.0684095999749843,6.6667996927817255
4,10,QAOA-3reg,11,FS,0.1069857999682426,4.262931157517406
4,10,QAOA-3reg,11,PR,0.2254481999552808,2.022961816448352
4,10,QAOA-3reg,11,Full,0.4560731000965461,1.0
