Circuit,Qubits,FS+Pre+ttl+SE+ema,FS,PR,Full
GHZ-Chain,3,15.300852264462089,6.04203303517626,5.873564560757566,1.0
GHZ-Chain,11,12.41800256106615,5.915282660854493,4.86800665192579,1.0
GHZ-Chain,17,13.34865934648131,6.244032907795906,5.062235774398203,1.0
GHZ-Chain,23,1.773156081463505,1.589801637290382,1.5134325672569247,1.0
LinearEnt,3,18.976716982266115,6.778347605797026,5.6521636258217605,1.0
LinearEnt,11,9.271082181745966,4.701282912698963,2.6381755650714713,1.0
LinearEnt,17,9.022859593753443,4.941646947537404,3.605112995177281,1.0
LinearEnt,23,1.367792778020594,1.290590812214245,1.3124443337526475,1.0
QAOA-3reg,3,15.254315660156987,5.605387689178922,4.244245913069572,1.0
QAOA-3reg,11,6.6667996927817255,4.262931157517406,2.022961816448352,1.0
QAOA-3reg,17,2.9453479391373087,3.8411527209910186,2.991461461898635,1.0
QAOA-3reg,23,1.2326042660363528,1.1252546120051472,1.148490751438025,1.0
QFT-Like,3,15.71676254204802,6.133512688686552,0.8154064933542208,1.0
QFT-Like,11,12.109125277108518,5.72397027698594,0.5473204729642068,1.0
QFT-Like,17,6.791252760509348,3.789826793686716,0.500351622012791,1.0
QFT-Like,23,1.3122873069524705,1.3149821573651597,0.898170392387915,1.0
QSIM-XXZ,3,14.381839973345471,5.564635977705656,4.714770328980252,1.0
QSIM-XXZ,11,6.1625225998757,3.8905460399929863,2.953247520073349,1.0
QSIM-XXZ,17,7.619591063341761,4.116496604505522,1.9123088721167234,1.0
QSIM-XXZ,23,1.5498691042390311,1.4560411603970724,1.281525178267619,1.0
RCA,3,17.90493391500024,6.213573015453259,0.862915487236236,1.0
RCA,11,12.459144403198675,5.783542645680725,0.7864566289320192,1.0
RCA,17,9.148644680789902,5.233914690612312,0.6979040160411165,1.0
RCA,23,1.107272055908309,1.1564696243499384,0.9497877094953512,1.0
VQE-Full,3,18.626898601404452,6.379021690068988,0.6674932380435238,1.0
VQE-Full,11,9.239077720306746,6.4137869071731215,0.9010545064342309,1.0
VQE-Full,17,7.259941637217883,4.08230125981282,0.6915090622467293,1.0
VQE-Full,23,1.2733441757388861,1.24603760807044,0.8691006075576393,1.0
