size,method,e2e_latency,final_cache_size
50,FS+Pre+ttl+SE,2.3595392988063395,31
50,FS+Pre+ttl,2.2182622007094324,34
50,FS+Pre,2.3020537002012134,34
50,FS,2.3732630000449717,34
50,PR,2.6229492984712124,21
100,FS+Pre+ttl+SE,4.443781801965088,51
100,FS+Pre+ttl,3.6738755996339023,55
100,FS+Pre,3.9743048981763422,55
100,FS,3.9465590994805098,55
100,PR,6.2926585003733635,29
150,FS+Pre+ttl+SE,4.026776100043207,53
150,FS+Pre+ttl,3.5120231988839805,62
150,FS+Pre,3.4796873996965587,62
150,FS,3.6372091989032924,62
150,PR,5.641447302885354,38
200,FS+Pre+ttl+SE,5.070292501710355,61
200,FS+Pre+ttl,4.955938700120896,75
200,FS+Pre,4.737801001407206,75
200,FS,5.189805498812348,75
200,PR,10.618111001327634,42
