size,round,method,e2e_latency,final_cache_size,final_hitrate
50,1,FS+Pre+ttl+SE+ema,1.7971063982695341,31,0.36
50,1,FS+Pre+ttl+SE,1.8004714008420706,31,0.36
50,1,FS+Pre+ttl,2.413879598490894,34,0.38
50,1,FS+Pre,1.9549581999890506,34,0.38
50,1,FS,1.9195162006653845,34,0.32
50,1,PR,2.7272903001867235,23,0.22
50,2,FS+Pre+ttl+SE+ema,1.8282294999808073,31,0.36
50,2,FS+Pre+ttl+SE,2.161284098867327,31,0.36
50,2,FS+Pre+ttl,1.9536844999529421,35,0.36
50,2,FS+Pre,1.7687563016079366,35,0.36
50,2,FS,2.7785033006221056,35,0.3
50,2,PR,2.940009501762688,20,0.16
50,3,FS+Pre+ttl+SE+ema,2.2641352000646293,27,0.44
50,3,FS+Pre+ttl+SE,1.8502255980856717,27,0.44
50,3,FS+Pre+ttl,2.5239970018155873,31,0.44
50,3,FS+Pre,2.1721188998781145,31,0.44
50,3,FS,1.939300801139325,31,0.38
50,3,PR,2.5994358994066715,16,0.18
50,4,FS+Pre+ttl+SE+ema,2.555521599482745,30,0.4
50,4,FS+Pre+ttl+SE,2.387750801164657,30,0.4
50,4,FS+Pre+ttl,2.0923838997259736,34,0.4
50,4,FS+Pre,2.200769899878651,34,0.4
50,4,FS,2.613367097917944,34,0.32
50,4,PR,4.4251610999926925,19,0.2
50,5,FS+Pre+ttl+SE+ema,2.0913578998297453,31,0.36
50,5,FS+Pre+ttl+SE,2.140150999184698,31,0.36
50,5,FS+Pre+ttl,2.3801317010074854,34,0.38
50,5,FS+Pre,2.666937499307096,34,0.38
50,5,FS,2.2060794001445174,34,0.32
50,5,PR,2.4048752998933196,20,0.26
100,1,FS+Pre+ttl+SE+ema,3.306884898338467,49,0.47
100,1,FS+Pre+ttl+SE,3.3805848001502454,49,0.47
100,1,FS+Pre+ttl,3.3183729988522828,51,0.53
100,1,FS+Pre,3.066531701013446,51,0.53
100,1,FS,3.3108277986757457,51,0.49
100,1,PR,5.969930301420391,28,0.22
100,2,FS+Pre+ttl+SE+ema,3.6546926982700825,45,0.5
100,2,FS+Pre+ttl+SE,3.7500729989260435,45,0.5
