size,round,method,e2e_latency,final_cache_size,final_hitrate
50,1,FS+Pre+ttl,1.8737748991698027,34,0.38
50,1,FS+Pre,1.8584219012409449,34,0.38
50,1,FS,2.1267585013993084,34,0.32
50,1,PR,2.3165511996485293,23,0.22
50,2,FS+Pre+ttl,2.0596248996444046,35,0.36
50,2,FS+Pre,1.9788246001116931,35,0.36
50,2,FS,2.0439458009786904,35,0.3
50,2,PR,3.0763801014982164,20,0.16
50,3,FS+Pre+ttl,1.7918389001861215,31,0.44
50,3,FS+Pre,1.793514299672097,31,0.44
50,3,FS,1.9174908986315131,31,0.38
50,3,PR,2.6429520011879504,16,0.18
100,1,FS+Pre+ttl,3.0732207000255585,51,0.53
100,1,FS+Pre,3.272656600922346,51,0.53
100,1,FS,3.5303458007983863,51,0.49
100,1,PR,5.241511801723391,28,0.22
100,2,FS+Pre+ttl,3.9106934987939894,50,0.53
100,2,FS+Pre,3.556744902394712,50,0.53
100,2,FS,3.6578573985025287,50,0.5
100,2,PR,5.525865999050438,27,0.29
100,3,FS+Pre+ttl,3.437853599432856,55,0.49
100,3,FS+Pre,3.8520973990671337,55,0.49
100,3,FS,3.5938642998225987,55,0.45
100,3,PR,6.2938557006418705,26,0.17
150,1,FS+Pre+ttl,3.9532480998896062,64,0.6
150,1,FS+Pre,3.831463301088661,64,0.6
150,1,FS,3.976294199936092,64,0.5733333333333334
150,1,PR,5.557537397369742,39,0.3333333333333333
150,2,FS+Pre+ttl,4.300758800469339,65,0.5933333333333334
150,2,FS+Pre,4.250698999967426,65,0.5933333333333334
150,2,FS,5.235577198676765,65,0.5666666666666667
150,2,PR,7.234743102453649,34,0.35333333333333333
150,3,FS+Pre+ttl,3.894410398323089,67,0.58
150,3,FS+Pre,3.997285797726363,67,0.58
150,3,FS,4.530163602903485,67,0.5533333333333333
150,3,PR,7.968934999778867,39,0.32
200,1,FS+Pre+ttl,5.036685900297016,80,0.62
200,1,FS+Pre,4.927836402785033,80,0.62
200,1,FS,4.9814029997214675,80,0.6
200,1,PR,9.464508808217943,46,0.32
200,2,FS+Pre+ttl,4.195558700710535,70,0.67
200,2,FS+Pre,4.020567500963807,70,0.67
200,2,FS,5.487004998605698,70,0.65
200,2,PR,7.107750496827066,36,0.33
200,3,FS+Pre+ttl,5.403461303561926,72,0.66
200,3,FS+Pre,4.680894097778946,72,0.66
200,3,FS,4.592002298217267,72,0.64
200,3,PR,7.3488121018745005,46,0.445
300,1,FS+Pre+ttl,9.961252500768751,73,0.6766666666666666
300,1,FS+Pre,5.692332400009036,90,0.7133333333333334
300,1,FS,6.054294597823173,90,0.7
300,1,PR,12.029121396597475,46,0.48
300,2,FS+Pre+ttl,9.909648298285902,73,0.7266666666666667
300,2,FS+Pre,10.083837498910725,83,0.7366666666666667
300,2,FS,7.111899199895561,83,0.7233333333333334
300,2,PR,13.66549599962309,45,0.33666666666666667
300,3,FS+Pre+ttl,4.717093897052109,82,0.74
300,3,FS+Pre,5.18978680158034,82,0.74
300,3,FS,5.491801301017404,82,0.7266666666666667
300,3,PR,12.845254397951066,48,0.48333333333333334
350,1,FS+Pre+ttl,6.530239800456911,97,0.7314285714285714
350,1,FS+Pre,13.05501190200448,98,0.7314285714285714
350,1,FS,6.456113299354911,98,0.72
350,1,PR,16.963212898001075,55,0.43142857142857144
350,2,FS+Pre+ttl,5.752701699733734,90,0.7542857142857143
350,2,FS+Pre,6.3833359009586275,90,0.7542857142857143
350,2,FS,6.4611012996174395,90,0.7428571428571429
350,2,PR,17.083115801215172,53,0.4342857142857143
350,3,FS+Pre+ttl,5.749014099594206,95,0.74
350,3,FS+Pre,6.607207498513162,95,0.74
350,3,FS,6.289297100156546,95,0.7285714285714285
350,3,PR,22.706144499592483,55,0.3028571428571429
400,1,FS+Pre+ttl,6.081902598030865,91,0.78
400,1,FS+Pre,6.199758799280971,91,0.78
400,1,FS,7.0268650986254215,91,0.7725
400,1,PR,21.69412700086832,50,0.4575
400,2,FS+Pre+ttl,6.361970299389213,98,0.765
400,2,FS+Pre,6.448859598487616,98,0.765
400,2,FS,5.583295902702957,98,0.755
400,2,PR,15.390364198945463,56,0.4025
400,3,FS+Pre+ttl,6.4820760996080935,95,0.77
400,3,FS+Pre,5.8201439012773335,96,0.77
400,3,FS,7.006635698489845,96,0.76
400,3,PR,14.151001696009189,51,0.4625
450,1,FS+Pre+ttl,5.592783100903034,94,0.8
450,1,FS+Pre,6.4941460019908845,94,0.8
450,1,FS,5.690873399376869,94,0.7911111111111111
450,1,PR,20.055861195083708,55,0.37333333333333335
450,2,FS+Pre+ttl,6.127761600539088,100,0.7844444444444445
450,2,FS+Pre,6.593016299884766,101,0.7844444444444445
450,2,FS,7.003402200061828,101,0.7755555555555556
450,2,PR,18.858252899255604,60,0.47555555555555556
450,3,FS+Pre+ttl,7.3098712004721165,107,0.7622222222222222
450,3,FS+Pre,8.0244270991534,108,0.7666666666666667
450,3,FS,8.284901400562376,108,0.76
450,3,PR,23.772968503646553,63,0.4088888888888889
500,1,FS+Pre+ttl,7.443335901480168,110,0.782
500,1,FS+Pre,8.01380870025605,111,0.784
500,1,FS,8.754510100465268,111,0.778
500,1,PR,22.979915695730597,64,0.448
500,2,FS+Pre+ttl,7.620620900765061,97,0.8
500,2,FS+Pre,7.133237603120506,103,0.802
500,2,FS,7.434695597738028,103,0.794
500,2,PR,18.159501804038882,56,0.51
500,3,FS+Pre+ttl,6.461044199299067,104,0.794
500,3,FS+Pre,6.7677768976427615,106,0.794
500,3,FS,7.171248901635408,106,0.788
500,3,PR,20.718155201524496,60,0.464
