size,round,method,e2e_latency,final_cache_size,final_hitrate
150,1,FS+Pre+ttl+SE+ema,3.7097651999793015,49,0.6066666666666667
150,1,NoCache,8.875271999568213,0,0.0
150,2,FS+Pre+ttl+SE+ema,5.5639274004497565,66,0.49333333333333335
150,2,NoCache,9.323772000148892,0,0.0
150,3,FS+Pre+ttl+SE+ema,4.1735368996160105,50,0.5933333333333334
150,3,NoCache,7.88474360096734,0,0.0
150,4,FS+Pre+ttl+SE+ema,4.186402299965266,51,0.5933333333333334
150,4,NoCache,9.872053700848483,0,0.0
150,5,FS+Pre+ttl+SE+ema,4.891865199839231,57,0.5533333333333333
150,5,NoCache,10.22073680034373,0,0.0
