size,round,method,e2e_latency,final_cache_size,final_hitrate
150,1,FS+Pre+ttl+SE+ema,4.383463500242215,52,0.5866666666666667
150,1,NoCache,9.234478799684439,0,0.0
150,2,FS+Pre+ttl+SE+ema,3.676525400020182,60,0.5333333333333333
150,2,NoCache,7.758649800438434,0,0.0
150,3,FS+Pre+ttl+SE+ema,4.347832299536094,56,0.56
150,3,NoCache,8.146420999953989,0,0.0
150,4,FS+Pre+ttl+SE+ema,4.590174999786541,60,0.5333333333333333
150,4,NoCache,9.569589399558026,0,0.0
150,5,FS+Pre+ttl+SE+ema,3.570813199854456,52,0.5866666666666667
150,5,NoCache,6.937800400075503,0,0.0
