q,circuit,hw_num_qubits,d,hw_size,hw_twoq,hw_depth,hw_twoq_depth,hw_oneq,logic_num_qubits,logic_depth,logic_twoq_depth,logic_size,logic_oneq,logic_twoq,logic_threeq,logic_cx,logic_cz,logic_swap,logic_measure,logic_barrier,hw_threeq,hw_cx,hw_cz,hw_swap,hw_measure,hw_barrier
3,GHZ-Chain,3,1,3,2,3,2,1,3,3,2,3,1,2,0,2,0,0,0,0,0,2,0,0,0,0
3,GHZ-Chain,3,2,4,2,4,2,2,3,4,2,4,2,2,0,2,0,0,0,0,0,2,0,0,0,0
3,GHZ-Chain,3,3,6,2,5,2,3,3,5,2,6,3,2,1,2,0,0,0,1,1,2,0,0,0,1
3,GHZ-Chain,3,4,8,2,6,2,4,3,6,2,8,4,2,2,2,0,0,0,2,2,2,0,0,0,2
11,GHZ-Chain,11,1,11,10,11,10,1,11,11,10,11,1,10,0,10,0,0,0,0,0,10,0,0,0,0
11,GHZ-Chain,11,2,12,10,12,10,2,11,12,10,12,2,10,0,10,0,0,0,0,0,10,0,0,0,0
11,GHZ-Chain,11,3,14,10,13,10,3,11,13,10,14,3,10,0,10,0,0,0,1,0,10,0,0,0,1
11,GHZ-Chain,11,4,16,10,14,10,4,11,14,10,16,4,10,0,10,0,0,0,2,0,10,0,0,0,2
17,GHZ-Chain,17,1,17,16,17,16,1,17,17,16,17,1,16,0,16,0,0,0,0,0,16,0,0,0,0
17,GHZ-Chain,17,2,18,16,18,16,2,17,18,16,18,2,16,0,16,0,0,0,0,0,16,0,0,0,0
17,GHZ-Chain,17,3,20,16,19,16,3,17,19,16,20,3,16,0,16,0,0,0,1,0,16,0,0,0,1
17,GHZ-Chain,17,4,22,16,20,16,4,17,20,16,22,4,16,0,16,0,0,0,2,0,16,0,0,0,2
23,GHZ-Chain,23,1,23,22,23,22,1,23,23,22,23,1,22,0,22,0,0,0,0,0,22,0,0,0,0
23,GHZ-Chain,23,2,24,22,24,22,2,23,24,22,24,2,22,0,22,0,0,0,0,0,22,0,0,0,0
