circuit,q,d,logic_num_qubits,logic_depth,logic_twoq_depth,logic_size,logic_oneq,logic_twoq,logic_threeq,logic_cx,logic_cz,logic_swap,logic_measure,logic_barrier
GHZ-Chain,3,1,3,3,2,3,1,2,0,2,0,0,0,0
GHZ-Chain,3,2,3,4,2,4,2,2,0,2,0,0,0,0
GHZ-Chain,3,3,3,5,2,6,3,2,1,2,0,0,0,1
GHZ-Chain,3,4,3,6,2,8,4,2,2,2,0,0,0,2
GHZ-Chain,11,1,11,11,10,11,1,10,0,10,0,0,0,0
GHZ-Chain,11,2,11,12,10,12,2,10,0,10,0,0,0,0
GHZ-Chain,11,3,11,13,10,14,3,10,0,10,0,0,0,1
GHZ-Chain,11,4,11,14,10,16,4,10,0,10,0,0,0,2
GHZ-Chain,17,1,17,17,16,17,1,16,0,16,0,0,0,0
GHZ-Chain,17,2,17,18,16,18,2,16,0,16,0,0,0,0
GHZ-Chain,17,3,17,19,16,20,3,16,0,16,0,0,0,1
GHZ-Chain,17,4,17,20,16,22,4,16,0,16,0,0,0,2
GHZ-Chain,23,1,23,23,22,23,1,22,0,22,0,0,0,0
GHZ-Chain,23,2,23,24,22,24,2,22,0,22,0,0,0,0
GHZ-Chain,23,3,23,25,22,26,3,22,0,22,0,0,0,1
GHZ-Chain,23,4,23,26,22,28,4,22,0,22,0,0,0,2
LinearEnt,3,1,3,4,2,8,6,2,0,2,0,0,0,0
LinearEnt,3,2,3,8,4,16,12,4,0,4,0,0,0,0
LinearEnt,3,3,3,12,6,24,18,6,0,6,0,0,0,0
LinearEnt,3,4,3,16,8,32,24,8,0,8,0,0,0,0
LinearEnt,11,1,11,12,10,32,22,10,0,10,0,0,0,0
LinearEnt,11,2,11,16,12,64,44,20,0,20,0,0,0,0
LinearEnt,11,3,11,20,14,96,66,30,0,30,0,0,0,0
LinearEnt,11,4,11,24,16,128,88,40,0,40,0,0,0,0
LinearEnt,17,1,17,18,16,50,34,16,0,16,0,0,0,0
LinearEnt,17,2,17,22,18,100,68,32,0,32,0,0,0,0
LinearEnt,17,3,17,26,20,150,102,48,0,48,0,0,0,0
LinearEnt,17,4,17,30,22,200,136,64,0,64,0,0,0,0
LinearEnt,23,1,23,24,22,68,46,22,0,22,0,0,0,0
LinearEnt,23,2,23,28,24,136,92,44,0,44,0,0,0,0
LinearEnt,23,3,23,32,26,204,138,66,0,66,0,0,0,0
LinearEnt,23,4,23,36,28,272,184,88,0,88,0,0,0,0
QFT-Like,3,1,3,5,3,6,3,3,0,0,0,0,0,0
QFT-Like,3,2,3,8,6,12,6,6,0,0,0,0,0,0
QFT-Like,3,3,3,11,9,18,9,9,0,0,0,0,0,0
QFT-Like,3,4,3,14,12,24,12,12,0,0,0,0,0,0
QFT-Like,11,1,11,21,19,66,11,55,0,0,0,0,0,0
QFT-Like,11,2,11,32,30,132,22,110,0,0,0,0,0,0
QFT-Like,11,3,11,43,41,198,33,165,0,0,0,0,0,0
QFT-Like,11,4,11,54,52,264,44,220,0,0,0,0,0,0
QFT-Like,17,1,17,33,31,153,17,136,0,0,0,0,0,0
QFT-Like,17,2,17,50,48,306,34,272,0,0,0,0,0,0
QFT-Like,17,3,17,67,65,459,51,408,0,0,0,0,0,0
QFT-Like,17,4,17,84,82,612,68,544,0,0,0,0,0,0
QFT-Like,23,1,23,45,43,276,23,253,0,0,0,0,0,0
QFT-Like,23,2,23,68,66,552,46,506,0,0,0,0,0,0
QFT-Like,23,3,23,91,89,828,69,759,0,0,0,0,0,0
QFT-Like,23,4,23,114,112,1104,92,1012,0,0,0,0,0,0
QAOA-3reg,3,1,3,11,6,15,9,6,0,6,0,0,0,0
QAOA-3reg,3,2,3,21,12,27,15,12,0,12,0,0,0,0
QAOA-3reg,3,3,3,31,18,39,21,18,0,18,0,0,0,0
QAOA-3reg,3,4,3,41,24,51,27,24,0,24,0,0,0,0
QAOA-3reg,11,1,11,17,10,70,38,32,0,32,0,0,0,0
