method,size,round,e2e_latency,final_cache_size,cost
FS+Pre+ttl+SE+ema,50,1,1.797106398269534,31,1.2019227426025616
FS,50,1,1.9195162006653843,34,1.2342564182497746
PR,50,1,2.7272903001867235,23,1.098580924979581
FS+Pre+ttl+SE+ema,50,2,1.8282294999808075,31,1.2019259561707911
FS,50,2,2.7785033006221056,35,1.2446737312110956
PR,50,2,2.940009501762688,20,1.0515543743000728
FS+Pre+ttl+SE+ema,50,3,2.2641352000646293,27,1.1537409017036913
FS,50,3,1.939300801139325,31,1.2019401725255443
PR,50,3,2.5994358994066715,16,0.9733968276387892
FS+Pre+ttl+SE+ema,50,4,2.555521599482745,30,1.1907197187189293
FS,50,4,2.613367097917944,34,1.2344506436444806
PR,50,4,4.4251610999926925,19,1.072970902557332
FS+Pre+ttl+SE+ema,50,5,2.0913578998297453,31,1.2019684438199303
FS,50,5,2.2060794001445174,34,1.234300862706502
PR,50,5,2.40487529989332,20,1.049341287607187
FS+Pre+ttl+SE+ema,100,1,3.306884898338467,49,1.3624254486914085
FS,100,1,3.3108277986757457,51,1.376391635513048
PR,100,1,5.969930301420391,28,1.233169396362423
FS+Pre+ttl+SE+ema,100,2,3.6546926982700825,45,1.3330743323357828
FS,100,2,3.644235098734498,50,1.3697126554532342
PR,100,2,6.483750100247562,27,1.2582637180404945
FS+Pre+ttl+SE+ema,100,3,3.7867232994176447,49,1.362831358530886
FS,100,3,3.625106998719275,55,1.4029162029291227
PR,100,3,5.82519970042631,26,1.2122268340324363
FS+Pre+ttl+SE+ema,100,4,3.874649200122803,46,1.3410283563355754
FS,100,4,3.6865827003493914,49,1.362720686149098
PR,100,4,6.005397598724812,27,1.2288708193076607
FS+Pre+ttl+SE+ema,100,5,3.4309063982218504,42,1.3088115900510173
FS,100,5,3.952413401100785,46,1.3411659781608816
PR,100,5,5.224293801933527,24,1.164565584946676
FS+Pre+ttl+SE+ema,150,1,4.49766319943592,55,1.4039793937799459
FS,150,1,4.081963099073619,64,1.4560537648044938
PR,150,1,6.457930298522115,39,1.3226329817831166
FS+Pre+ttl+SE+ema,150,2,4.54981020046398,56,1.4103026121782145
FS,150,2,4.204939800314605,65,1.4615462052164365
PR,150,2,8.446006501559168,34,1.4065596142796388
FS+Pre+ttl+SE+ema,150,3,5.097681702580303,56,1.4118433806168342
