method,size,round,final_hitrate
FS+Pre+ttl+SE+ema,50,1,0.36
FS,50,1,0.32
PR,50,1,0.22
FS+Pre+ttl+SE+ema,50,2,0.36
FS,50,2,0.3
PR,50,2,0.16
FS+Pre+ttl+SE+ema,50,3,0.44
FS,50,3,0.38
PR,50,3,0.18
FS+Pre+ttl+SE+ema,50,4,0.4
FS,50,4,0.32
PR,50,4,0.2
FS+Pre+ttl+SE+ema,50,5,0.36
FS,50,5,0.32
PR,50,5,0.26
FS+Pre+ttl+SE+ema,100,1,0.47
FS,100,1,0.49
PR,100,1,0.22
FS+Pre+ttl+SE+ema,100,2,0.5
FS,100,2,0.5
PR,100,2,0.29
FS+Pre+ttl+SE+ema,100,3,0.47
FS,100,3,0.45
PR,100,3,0.17
FS+Pre+ttl+SE+ema,100,4,0.5
FS,100,4,0.51
PR,100,4,0.27
FS+Pre+ttl+SE+ema,100,5,0.53
FS,100,5,0.54
PR,100,5,0.27
FS+Pre+ttl+SE+ema,150,1,0.5666666666666667
FS,150,1,0.5733333333333334
PR,150,1,0.3333333333333333
FS+Pre+ttl+SE+ema,150,2,0.56
FS,150,2,0.5666666666666667
PR,150,2,0.3533333333333333
FS+Pre+ttl+SE+ema,150,3,0.56
FS,150,3,0.5533333333333333
PR,150,3,0.32
FS+Pre+ttl+SE+ema,150,4,0.5533333333333333
FS,150,4,0.58
PR,150,4,0.3733333333333333
FS+Pre+ttl+SE+ema,150,5,0.6
FS,150,5,0.6266666666666667
PR,150,5,0.3133333333333333
FS+Pre+ttl+SE+ema,200,1,0.58
FS,200,1,0.6
PR,200,1,0.32
FS+Pre+ttl+SE+ema,200,2,0.615
FS,200,2,0.65
PR,200,2,0.33
FS+Pre+ttl+SE+ema,200,3,0.635
FS,200,3,0.64
PR,200,3,0.445
FS+Pre+ttl+SE+ema,200,4,0.645
FS,200,4,0.665
PR,200,4,0.285
FS+Pre+ttl+SE+ema,200,5,0.615
FS,200,5,0.63
PR,200,5,0.405
FS+Pre+ttl+SE+ema,300,1,0.6833333333333333
FS,300,1,0.7
PR,300,1,0.48
FS+Pre+ttl+SE+ema,300,2,0.71
FS,300,2,0.7233333333333334
PR,300,2,0.3366666666666666
FS+Pre+ttl+SE+ema,300,3,0.6933333333333334
FS,300,3,0.7266666666666667
PR,300,3,0.4833333333333333
FS+Pre+ttl+SE+ema,300,4,0.6466666666666666
FS,300,4,0.6766666666666666
PR,300,4,0.4133333333333333
FS+Pre+ttl+SE+ema,300,5,0.7033333333333334
FS,300,5,0.7233333333333334
PR,300,5,0.3133333333333333
FS+Pre+ttl+SE+ema,350,1,0.6942857142857143
FS,350,1,0.72
PR,350,1,0.4314285714285714
FS+Pre+ttl+SE+ema,350,2,0.7114285714285714
FS,350,2,0.7428571428571429
PR,350,2,0.4342857142857143
FS+Pre+ttl+SE+ema,350,3,0.7171428571428572
FS,350,3,0.7285714285714285
PR,350,3,0.3028571428571429
FS+Pre+ttl+SE+ema,350,4,0.7171428571428572
FS,350,4,0.7571428571428571
PR,350,4,0.3485714285714286
FS+Pre+ttl+SE+ema,350,5,0.6914285714285714
FS,350,5,0.7257142857142858
PR,350,5,0.4514285714285714
FS+Pre+ttl+SE+ema,400,1,0.735
FS,400,1,0.7725
PR,400,1,0.4575
FS+Pre+ttl+SE+ema,400,2,0.71
FS,400,2,0.755
PR,400,2,0.4025
FS+Pre+ttl+SE+ema,400,3,0.7325
FS,400,3,0.76
PR,400,3,0.4625
FS+Pre+ttl+SE+ema,400,4,0.715
FS,400,4,0.76
PR,400,4,0.415
FS+Pre+ttl+SE+ema,400,5,0.7275
FS,400,5,0.76
PR,400,5,0.475
FS+Pre+ttl+SE+ema,450,1,0.7466666666666667
FS,450,1,0.7911111111111111
PR,450,1,0.3733333333333333
FS+Pre+ttl+SE+ema,450,2,0.7466666666666667
FS,450,2,0.7755555555555556
PR,450,2,0.4755555555555555
FS+Pre+ttl+SE+ema,450,3,0.7266666666666667
FS,450,3,0.76
PR,450,3,0.4088888888888889
FS+Pre+ttl+SE+ema,450,4,0.7577777777777778
FS,450,4,0.7933333333333333
PR,450,4,0.4844444444444444
FS+Pre+ttl+SE+ema,450,5,0.7422222222222222
FS,450,5,0.7777777777777778
PR,450,5,0.4222222222222222
FS+Pre+ttl+SE+ema,500,1,0.734
FS,500,1,0.778
PR,500,1,0.448
FS+Pre+ttl+SE+ema,500,2,0.754
FS,500,2,0.794
PR,500,2,0.51
FS+Pre+ttl+SE+ema,500,3,0.74
FS,500,3,0.788
PR,500,3,0.464
FS+Pre+ttl+SE+ema,500,4,0.754
FS,500,4,0.804
PR,500,4,0.406
FS+Pre+ttl+SE+ema,500,5,0.738
FS,500,5,0.78
PR,500,5,0.496
