event,time_utc,source,note
01_bootstrap,2025-10-21T13:51:44.231586+00:00,local,process import start
02a_tls_auth_start,2025-10-21T13:51:45.241128+00:00,local,
02a_tls_auth_end,2025-10-21T13:51:47.624594+00:00,local,
02b_backend_query_start,2025-10-21T13:51:47.624670+00:00,local,
02b_backend_query_end,2025-10-21T13:51:47.843043+00:00,local,
03_transpile_start,2025-10-21T13:51:47.843253+00:00,local,
03_transpile_end,2025-10-21T13:51:49.024129+00:00,local,
04_upload_to_cloud_start,2025-10-21T13:51:49.024142+00:00,local,
04_upload_to_cloud_end,2025-10-21T13:51:49.410931+00:00,local,
client_block_start,2025-10-21T13:51:49.410980+00:00,local,
client_result_received,2025-10-21T14:05:34.795768+00:00,local,
srv_created,2025-10-21T13:51:50.357129+00:00,server,server job CREATED
srv_running,2025-10-21T14:05:23.586214+00:00,server,server job RUNNING
srv_finished,2025-10-21T14:05:35.525068+00:00,server,server job FINISHED
srv_span_start,2025-10-21T14:05:34.414460+00:00,server,server exec span START
srv_span_stop,2025-10-21T14:05:35.197364+00:00,server,server exec span STOP
