event,time_utc,source,note
02a_tls_auth_start,2025-10-28T18:09:46.059051+00:00,local,
02a_tls_auth_end,2025-10-28T18:09:48.047891+00:00,local,
02b_backend_query_start,2025-10-28T18:09:48.047927+00:00,local,
02b_backend_query_end,2025-10-28T18:09:48.456413+00:00,local,
03_transpile_start,2025-10-28T18:09:48.456616+00:00,local,
03_transpile_end,2025-10-28T18:09:49.780856+00:00,local,
04_upload_to_cloud_start,2025-10-28T18:09:49.780870+00:00,local,
04_upload_to_cloud_end,2025-10-28T18:09:50.201076+00:00,local,
client_block_start,2025-10-28T18:09:50.201106+00:00,local,
client_result_received,2025-10-28T18:09:54.345074+00:00,local,
srv_created,2025-10-28T18:09:50.479924+00:00,server,server job CREATED
srv_running,2025-10-28T18:09:51.410346+00:00,server,server job RUNNING
srv_finished,2025-10-28T18:09:54.500211+00:00,server,server job FINISHED
srv_span_start,2025-10-28T18:09:53.021494+00:00,server,server exec span START
srv_span_stop,2025-10-28T18:09:53.483407+00:00,server,server exec span STOP
