event,time_utc,source,note
02a_tls_auth_start,2025-10-28T17:43:11.297661+00:00,local,
02a_tls_auth_end,2025-10-28T17:43:13.450034+00:00,local,
02b_backend_query_start,2025-10-28T17:43:13.450060+00:00,local,
02b_backend_query_end,2025-10-28T17:43:13.728415+00:00,local,
03_transpile_start,2025-10-28T17:43:13.728542+00:00,local,
03_transpile_end,2025-10-28T17:43:15.743264+00:00,local,
04_upload_to_cloud_start,2025-10-28T17:43:15.743277+00:00,local,
04_upload_to_cloud_end,2025-10-28T17:43:16.405938+00:00,local,
client_block_start,2025-10-28T17:43:16.405988+00:00,local,
client_result_received,2025-10-28T17:43:20.743549+00:00,local,
srv_created,2025-10-28T17:43:16.627544+00:00,server,server job CREATED
srv_running,2025-10-28T17:43:17.592479+00:00,server,server job RUNNING
srv_finished,2025-10-28T17:43:20.705829+00:00,server,server job FINISHED
srv_span_start,2025-10-28T17:43:19.103371+00:00,server,server exec span START
srv_span_stop,2025-10-28T17:43:19.992682+00:00,server,server exec span STOP
