event,time_utc,source,note
02a_tls_auth_start,2025-10-28T21:09:34.822920+00:00,local,
02a_tls_auth_end,2025-10-28T21:09:36.632150+00:00,local,
02b_backend_query_start,2025-10-28T21:09:36.632163+00:00,local,
02b_backend_query_end,2025-10-28T21:09:36.844403+00:00,local,
03_transpile_start,2025-10-28T21:09:36.844620+00:00,local,
03_transpile_end,2025-10-28T21:09:41.808171+00:00,local,
04_upload_to_cloud_start,2025-10-28T21:09:41.808189+00:00,local,
04_upload_to_cloud_end,2025-10-28T21:09:42.885449+00:00,local,
client_block_start,2025-10-28T21:09:42.885505+00:00,local,
client_result_received,2025-10-28T21:09:50.379109+00:00,local,
srv_created,2025-10-28T21:09:43.268698+00:00,server,server job CREATED
srv_running,2025-10-28T21:09:44.321622+00:00,server,server job RUNNING
srv_finished,2025-10-28T21:09:50.562226+00:00,server,server job FINISHED
srv_span_start,2025-10-28T21:09:48.214197+00:00,server,server exec span START
srv_span_stop,2025-10-28T21:09:49.934537+00:00,server,server exec span STOP
