event,time_utc,source,note
01_bootstrap,2025-10-21T13:45:23.751357+00:00,local,process import start
02a_tls_auth_start,2025-10-21T13:45:25.672142+00:00,local,
02a_tls_auth_end,2025-10-21T13:45:27.867397+00:00,local,
02b_backend_query_start,2025-10-21T13:45:27.867411+00:00,local,
02b_backend_query_end,2025-10-21T13:45:28.127827+00:00,local,
03_transpile_start,2025-10-21T13:45:28.127926+00:00,local,
03_transpile_end,2025-10-21T13:45:28.535594+00:00,local,
04_upload_to_cloud_start,2025-10-21T13:45:28.535608+00:00,local,
04_upload_to_cloud_end,2025-10-21T13:45:28.773632+00:00,local,
client_block_start,2025-10-21T13:45:28.773699+00:00,local,
client_result_received,2025-10-21T13:45:32.947609+00:00,local,
srv_created,2025-10-21T13:45:29.718103+00:00,server,server job CREATED
srv_running,2025-10-21T13:45:30.426240+00:00,server,server job RUNNING
srv_finished,2025-10-21T13:45:33.795557+00:00,server,server job FINISHED
srv_span_start,2025-10-21T13:45:32.245809+00:00,server,server exec span START
srv_span_stop,2025-10-21T13:45:33.311375+00:00,server,server exec span STOP
