event,time_utc,source,note
02a_tls_auth_start,2025-10-21T17:49:12.518873+00:00,local,
02a_tls_auth_end,2025-10-21T17:49:14.466909+00:00,local,
02b_backend_query_start,2025-10-21T17:49:14.466926+00:00,local,
02b_backend_query_end,2025-10-21T17:49:14.823216+00:00,local,
03_transpile_start,2025-10-21T17:49:14.823359+00:00,local,
03_transpile_end,2025-10-21T17:49:15.126954+00:00,local,
04_upload_to_cloud_start,2025-10-21T17:49:15.126968+00:00,local,
04_upload_to_cloud_end,2025-10-21T17:49:15.617518+00:00,local,
client_block_start,2025-10-21T17:49:15.617545+00:00,local,
client_result_received,2025-10-21T17:51:09.774873+00:00,local,
srv_created,2025-10-21T17:49:16.693615+00:00,server,server job CREATED
srv_running,2025-10-21T17:49:17.517782+00:00,server,server job RUNNING
srv_finished,2025-10-21T17:51:10.598734+00:00,server,server job FINISHED
srv_span_start,2025-10-21T17:51:08.352499+00:00,server,server exec span START
srv_span_stop,2025-10-21T17:51:09.795688+00:00,server,server exec span STOP
