event,time_utc,source,note
02a_tls_auth_start,2025-10-21T17:39:16.514830+00:00,local,
02a_tls_auth_end,2025-10-21T17:39:18.438261+00:00,local,
02b_backend_query_start,2025-10-21T17:39:18.438286+00:00,local,
02b_backend_query_end,2025-10-21T17:39:18.699334+00:00,local,
03_transpile_start,2025-10-21T17:39:18.699451+00:00,local,
03_transpile_end,2025-10-21T17:39:19.259816+00:00,local,
04_upload_to_cloud_start,2025-10-21T17:39:19.259832+00:00,local,
04_upload_to_cloud_end,2025-10-21T17:39:19.716668+00:00,local,
client_block_start,2025-10-21T17:39:19.716685+00:00,local,
client_result_received,2025-10-21T17:39:23.144405+00:00,local,
srv_created,2025-10-21T17:39:20.738605+00:00,server,server job CREATED
srv_running,2025-10-21T17:39:21.405205+00:00,server,server job RUNNING
srv_finished,2025-10-21T17:39:24.097898+00:00,server,server job FINISHED
srv_span_start,2025-10-21T17:39:22.745053+00:00,server,server exec span START
srv_span_stop,2025-10-21T17:39:23.781175+00:00,server,server exec span STOP
