event,time_utc,source,note
02a_tls_auth_start,2025-10-21T17:39:08.711667+00:00,local,
02a_tls_auth_end,2025-10-21T17:39:10.664505+00:00,local,
02b_backend_query_start,2025-10-21T17:39:10.664533+00:00,local,
02b_backend_query_end,2025-10-21T17:39:10.909279+00:00,local,
03_transpile_start,2025-10-21T17:39:10.909392+00:00,local,
03_transpile_end,2025-10-21T17:39:11.402048+00:00,local,
04_upload_to_cloud_start,2025-10-21T17:39:11.402063+00:00,local,
04_upload_to_cloud_end,2025-10-21T17:39:11.785544+00:00,local,
client_block_start,2025-10-21T17:39:11.785557+00:00,local,
client_result_received,2025-10-21T17:39:16.130564+00:00,local,
srv_created,2025-10-21T17:39:12.870521+00:00,server,server job CREATED
srv_running,2025-10-21T17:39:13.705392+00:00,server,server job RUNNING
srv_finished,2025-10-21T17:39:17.093297+00:00,server,server job FINISHED
srv_span_start,2025-10-21T17:39:15.120226+00:00,server,server exec span START
srv_span_stop,2025-10-21T17:39:16.757812+00:00,server,server exec span STOP
