event,time_utc,source,note
02a_tls_auth_start,2025-11-12T18:59:48.003663+00:00,local,
02a_tls_auth_end,2025-11-12T18:59:50.550559+00:00,local,
02b_backend_query_start,2025-11-12T18:59:50.550580+00:00,local,
02b_backend_query_end,2025-11-12T18:59:50.628644+00:00,local,
03_transpile_start,2025-11-12T18:59:50.628919+00:00,local,
03_transpile_end,2025-11-12T18:59:52.693694+00:00,local,
04_upload_to_cloud_start,2025-11-12T18:59:52.693708+00:00,local,
04_upload_to_cloud_end,2025-11-12T18:59:53.104110+00:00,local,
client_block_start,2025-11-12T18:59:53.104152+00:00,local,
client_result_received,2025-11-12T18:59:58.180826+00:00,local,
srv_created,2025-11-12T18:59:54.199222+00:00,server,server job CREATED
srv_running,2025-11-12T18:59:55.213414+00:00,server,server job RUNNING
srv_finished,2025-11-12T18:59:59.175531+00:00,server,server job FINISHED
srv_span_start,2025-11-12T18:59:57.205081+00:00,server,server exec span START
srv_span_stop,2025-11-12T18:59:58.173160+00:00,server,server exec span STOP
